ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],TTE,TotalEnergies SE,EURONEXT,79.61,EUR,-0.23,1.80,5.93,21.17,45.41,43.05,50.78,106.00,87.74,3162.70,1.55,1.98,78.07,77.51,76.79,68.88,61.31,58.33,3,SIDEWAYS,NEUTRAL
[object Object],ABBN,ABB Ltd.,SIX,81.34,CHF,2.08,-1.17,9.53,15.05,49.80,36.48,70.52,173.14,300.69,213.54,2.76,2.52,81.73,76.95,72.47,68.59,62.55,60.65,3,SIDEWAYS,NEUTRAL
[object Object],ABI,Anheuser-Busch InBev SA/NV,EURONEXT,71.16,EUR,1.34,5.11,11.19,6.81,34.67,31.10,17.43,15.28,-34.60,271.98,1.78,2.33,69.02,65.72,63.89,62.69,57.69,70.02,3,SIDEWAYS,OVERBOUGHT
[object Object],BAS,BASF SE,XETR,51.10,EUR,-2.29,-4.81,-3.29,3.86,20.60,14.88,18.53,-24.30,-24.22,845.42,2.18,2.42,52.56,53.28,51.55,49.21,46.57,42.44,3,SIDEWAYS,NEUTRAL
[object Object],RWE,RWE AG,XETR,56.62,EUR,0.43,-1.39,0.28,9.01,27.21,25.15,73.57,74.22,391.49,461.81,2.47,2.53,57.31,58.69,57.81,54.48,47.09,44.11,3,SIDEWAYS,NEUTRAL
[object Object],MT,ArcelorMittal SA,EURONEXT,53.80,EUR,4.96,1.51,3.94,-2.25,57.77,38.13,94.58,111.35,357.95,-19.38,4.60,4.20,52.92,51.77,49.16,48.29,40.49,56.33,3,SIDEWAYS,NEUTRAL
[object Object],SDZ,Sandoz Group Ltd,SIX,65.88,CHF,0.95,-3.12,-0.48,-1.35,25.01,13.20,67.38,174.50,174.50,174.50,2.64,2.53,66.43,65.29,63.94,63.35,57.14,52.90,3,SIDEWAYS,NEUTRAL
[object Object],EN,Bouygues SA,EURONEXT,50.36,EUR,1.31,-1.22,-3.04,0.32,22.74,13.68,29.13,52.56,75.35,382.38,2.13,2.26,50.61,51.37,50.67,49.07,44.43,47.76,3,SIDEWAYS,NEUTRAL
[object Object],NN,NN Group N.V.,EURONEXT,75.06,EUR,0.78,-0.56,2.65,8.19,24.23,14.07,38.08,74.31,160.76,257.43,1.81,1.55,75.46,73.93,71.10,69.14,64.83,56.91,3,SIDEWAYS,NEUTRAL
[object Object],TELIA,Telia Company AB,OMXSTO,50.74,SEK,-0.28,3.85,9.54,14.36,38.79,28.42,37.73,36.69,30.64,57.58,2.34,2.13,49.47,48.22,47.79,44.87,40.60,67.80,3,SIDEWAYS,NEUTRAL
[object Object],TIT,Telecom Italia S.p.A.,MIL,0.72,EUR,1.14,3.25,9.29,11.96,50.03,40.54,85.81,67.32,-13.32,-96.10,2.42,2.08,0.71,0.67,0.65,0.62,0.54,72.60,3,SIDEWAYS,OVERBOUGHT
[object Object],AGS,ageas SA/NV,EURONEXT,67.75,EUR,1.19,0.07,0.15,8.40,17.21,12.92,18.55,30.84,96.26,-76.51,1.86,1.58,67.71,67.43,64.94,62.91,60.86,55.49,3,SIDEWAYS,NEUTRAL
[object Object],ASRNL,ASR Nederland N.V.,EURONEXT,66.40,EUR,0.12,0.33,3.81,7.76,16.12,9.00,14.92,86.41,224.69,224.69,2.01,1.56,66.50,64.54,62.20,61.62,60.04,61.06,3,SIDEWAYS,NEUTRAL
[object Object],MONC,Moncler SpA,MIL,50.98,EUR,1.39,1.15,-8.80,1.31,-9.45,-8.64,-9.45,-4.71,241.92,254.03,2.63,3.05,51.37,53.32,52.96,52.67,52.36,44.63,3,SIDEWAYS,NEUTRAL
[object Object],REC,Recordati S.p.A.,MIL,50.75,EUR,-0.39,1.70,1.20,4.04,0.89,5.20,-1.46,10.81,108.85,5154.85,1.57,1.93,50.71,49.97,48.73,48.25,49.85,56.72,3,SIDEWAYS,NEUTRAL
[object Object],ORNBV,Orion Oyj Class B,OMXHEX,71.15,EUR,-0.21,5.33,-5.20,2.74,20.49,11.52,24.28,94.35,126.09,264.31,2.15,2.65,69.04,70.40,69.83,69.08,66.95,56.11,3,SIDEWAYS,NEUTRAL
[object Object],BNR,Brenntag SE,XETR,58.82,EUR,-1.57,-4.95,-0.54,7.77,23.60,18.47,-1.93,-22.54,23.70,245.36,2.38,2.65,61.03,60.22,56.92,54.35,52.51,45.19,3,SIDEWAYS,NEUTRAL
[object Object],SSAB_B,SSAB AB Class B,OMXSTO,87.74,SEK,3.79,5.28,6.35,16.21,45.75,25.34,50.29,121.85,405.45,199.82,3.96,3.32,85.28,82.79,78.29,76.74,67.83,61.95,3,SIDEWAYS,NEUTRAL
[object Object],AKE,Arkema SA,EURONEXT,60.55,EUR,0.25,-4.95,-1.54,-1.14,22.32,16.22,-10.63,-43.17,-14.49,128.11,2.60,2.91,62.66,61.91,59.25,57.43,56.06,45.67,3,SIDEWAYS,NEUTRAL
[object Object],ASML,ASML Holding NV,EURONEXT,1333.00,EUR,6.73,2.57,8.55,7.10,58.84,44.99,99.61,151.51,1468.24,5110.20,4.07,3.67,1303.78,1257.39,1222.03,1185.31,999.07,57.42,2,SIDEWAYS,NEUTRAL
[object Object],HSBA,HSBC Holdings Plc,LSE,1360.00,GBX,2.50,1.87,0.89,4.07,31.86,14.71,53.76,206.76,217.61,467.50,2.47,2.10,1332.82,1335.91,1288.38,1274.14,1152.06,57.12,2,SIDEWAYS,NEUTRAL
[object Object],NESN,Nestle S.A.,SIX,78.64,CHF,-1.58,2.69,3.39,-2.19,-1.26,0.54,-10.07,-28.31,8.32,109.71,1.45,1.70,77.87,78.38,78.35,77.97,77.11,51.48,2,SIDEWAYS,NEUTRAL
[object Object],ITX,"Industria de Diseno Textil, S.A.",BME,50.74,EUR,1.85,4.21,-6.62,-12.21,8.70,-10.19,4.21,57.92,78.85,1269.87,2.24,2.45,50.09,51.77,51.42,53.71,50.60,48.68,2,SIDEWAYS,NEUTRAL
[object Object],RIO,Rio Tinto plc,LSE,7640.00,GBX,1.74,-6.30,3.34,5.80,47.43,27.44,65.19,25.99,288.51,790.11,2.72,2.41,7830.30,7519.27,7189.96,6957.45,6009.37,52.74,2,SIDEWAYS,NEUTRAL
[object Object],SU,Schneider Electric SE,EURONEXT,264.60,EUR,3.44,-2.00,-3.11,0.74,18.39,13.03,20.27,105.95,372.50,1152.51,3.04,3.14,267.22,268.59,258.33,252.69,242.73,49.34,2,SIDEWAYS,NEUTRAL
[object Object],ENR,Siemens Energy AG,XETR,174.32,EUR,3.95,-1.94,3.59,4.38,66.02,43.47,120.94,584.41,692.00,692.00,4.30,4.70,174.25,174.03,164.00,154.58,128.87,51.97,2,SIDEWAYS,NEUTRAL
[object Object],IBE,Iberdrola SA,BME,19.61,EUR,0.18,0.95,-1.38,-1.03,8.49,6.72,23.30,73.80,223.57,492.46,1.44,1.61,19.51,19.82,19.72,19.42,18.15,48.36,2,SIDEWAYS,NEUTRAL
[object Object],BATS,British American Tobacco p.l.c.,LSE,4892.00,GBX,-0.18,4.87,16.84,12.23,16.92,17.34,50.89,75.21,18.82,1405.23,3.82,2.79,4691.80,4407.83,4401.40,4375.57,4244.09,68.32,2,SIDEWAYS,NEUTRAL
[object Object],UCG,UniCredit S.p.A.,MIL,72.27,EUR,2.57,2.51,4.80,-3.38,16.98,1.55,26.13,604.39,407.92,-45.14,2.44,2.56,71.17,68.59,66.36,69.26,67.26,60.60,2,SIDEWAYS,NEUTRAL
[object Object],INVE_B,Investor AB Class B,OMXSTO,372.20,SEK,1.10,0.87,-2.22,1.17,20.82,12.31,26.17,100.65,434.00,1120.33,2.16,1.75,369.57,372.37,363.64,356.60,329.88,53.60,2,SIDEWAYS,NEUTRAL
[object Object],BP.,BP PLC,LSE,563.70,GBX,-0.93,3.45,0.71,19.18,24.44,30.49,54.16,80.67,56.17,145.62,1.92,2.47,549.55,562.86,561.39,508.50,471.68,52.57,2,SIDEWAYS,NEUTRAL
[object Object],AI,Air Liquide SA,EURONEXT,177.02,EUR,1.68,-0.17,-4.38,6.13,6.86,10.97,-4.25,53.77,183.81,965.92,1.80,1.72,176.15,182.02,177.98,171.17,171.14,46.40,2,SIDEWAYS,NEUTRAL
[object Object],ENEL,Enel SpA,MIL,9.67,EUR,1.16,-0.97,-0.83,6.25,10.09,9.34,20.26,19.16,145.28,52.34,2.29,2.22,9.67,9.75,9.64,9.48,8.91,49.41,2,SIDEWAYS,NEUTRAL
[object Object],IFX,Infineon Technologies AG,XETR,67.94,EUR,5.11,12.30,42.39,47.70,116.37,80.14,102.38,112.31,441.35,8.58,4.87,4.83,63.76,54.70,48.44,45.32,39.85,70.07,2,SIDEWAYS,OVERBOUGHT
[object Object],CS,AXA SA,EURONEXT,40.36,EUR,0.07,2.41,-4.20,3.86,7.34,-0.96,-3.51,80.34,91.83,477.39,2.08,2.03,39.95,40.91,39.98,39.64,39.73,50.54,2,SIDEWAYS,NEUTRAL
[object Object],GLEN,Glencore plc,LSE,566.10,GBX,0.64,-2.40,3.15,11.70,67.09,37.94,115.49,77.52,332.80,3.30,2.16,2.28,574.14,563.81,551.55,517.94,427.63,51.19,2,SIDEWAYS,NEUTRAL
[object Object],ENI,Eni S.p.A.,MIL,23.54,EUR,-1.34,-0.80,4.83,26.83,46.25,45.58,80.44,131.74,74.63,334.09,1.88,2.32,23.44,23.36,23.27,20.41,17.91,52.29,2,SIDEWAYS,NEUTRAL
[object Object],DG,VINCI SA,EURONEXT,124.60,EUR,1.34,-2.96,-8.25,-8.95,7.18,4.66,-2.31,34.14,87.59,1108.54,2.20,2.28,126.77,130.39,129.67,128.21,123.84,41.89,2,SIDEWAYS,NEUTRAL
[object Object],ENGI,ENGIE S.A.,EURONEXT,27.33,EUR,1.11,0.29,-2.81,2.86,25.94,21.95,47.25,109.17,106.42,-2.43,1.72,2.08,27.11,27.96,27.75,26.46,23.10,47.14,2,SIDEWAYS,NEUTRAL
[object Object],NOKIA,Nokia Oyj,OMXHEX,11.73,EUR,1.29,3.39,35.73,87.58,128.93,109.55,152.42,186.22,151.18,-80.11,5.57,5.85,11.42,9.85,8.73,7.30,5.95,69.24,2,SIDEWAYS,NEUTRAL
[object Object],G,Assicurazioni Generali S.p.A.,MIL,37.57,EUR,0.51,-3.49,1.16,4.71,14.40,5.03,11.78,114.56,197.94,147.82,1.72,1.81,38.53,37.76,36.28,35.63,34.51,48.67,2,SIDEWAYS,NEUTRAL
[object Object],LSEG,London Stock Exchange Group plc,LSE,9372.00,GBX,-0.91,1.03,-0.09,19.66,11.86,4.04,-18.93,27.61,262.83,2334.29,2.35,2.70,9216.80,9391.67,9085.88,8723.88,8835.13,52.72,2,SIDEWAYS,NEUTRAL
[object Object],DHL,Deutsche Post AG,XETR,48.09,EUR,2.17,1.16,-2.75,-3.82,14.31,3.31,22.80,-7.00,85.68,123.05,2.29,2.89,47.34,47.99,46.87,47.48,44.25,53.27,2,SIDEWAYS,NEUTRAL
[object Object],ORA,Orange SA,EURONEXT,18.63,EUR,-0.61,1.39,7.78,7.16,36.55,31.16,42.94,78.61,24.37,-24.27,1.70,2.18,18.30,17.92,17.71,16.83,15.36,60.58,2,SIDEWAYS,NEUTRAL
[object Object],STMMI,STMicroelectronics NV,MIL,55.28,EUR,6.00,11.86,49.61,92.71,202.08,147.12,140.98,85.50,1006.04,153.05,4.44,4.83,51.54,43.59,37.61,31.63,26.98,74.52,2,SIDEWAYS,OVERBOUGHT
[object Object],DB1,Deutsche Boerse AG,XETR,256.90,EUR,-0.16,3.42,-1.72,18.17,22.33,14.59,-10.02,85.62,233.81,1247.14,2.29,1.97,249.04,256.48,251.90,234.66,232.73,55.07,2,SIDEWAYS,NEUTRAL
[object Object],CPG,Compass Group PLC,LSE,31.67,USD,0.60,-1.55,11.73,13.18,1.64,4.35,-6.22,64.28,96.35,238.45,4.56,4.13,31.45,29.51,28.91,28.75,30.39,58.91,2,SIDEWAYS,NEUTRAL
[object Object],AAL,Anglo American plc,LSE,3767.00,GBX,3.01,-5.83,3.30,3.23,42.47,21.59,60.35,4.46,457.32,1444.53,3.64,3.52,3876.20,3690.38,3471.31,3440.55,3048.32,52.70,2,SIDEWAYS,NEUTRAL
[object Object],GLE,Societe Generale S.A. Class A,EURONEXT,69.43,EUR,4.39,3.03,-5.24,-4.89,23.98,1.80,41.64,165.96,100.38,141.80,2.66,2.80,67.81,69.63,67.60,69.40,63.35,53.34,2,SIDEWAYS,NEUTRAL
[object Object],SAND,Sandvik AB,OMXSTO,370.40,SEK,2.72,1.48,-6.98,-2.19,35.33,23.22,71.64,68.90,342.00,816.83,3.59,3.51,369.22,383.93,373.01,360.87,313.43,47.79,2,SIDEWAYS,NEUTRAL
[object Object],ASM,ASM International N.V.,EURONEXT,867.60,EUR,3.93,1.36,11.66,21.96,81.73,64.82,80.22,258.96,2308.33,3916.67,3.73,3.65,865.38,821.08,763.12,716.22,603.41,57.45,2,SIDEWAYS,NEUTRAL
[object Object],PRY,Prysmian S.p.A.,MIL,144.40,EUR,2.78,-5.34,20.84,42.55,76.79,66.74,160.93,409.71,597.61,895.73,4.21,4.97,149.84,132.50,118.92,107.62,94.93,58.65,2,SIDEWAYS,NEUTRAL
[object Object],FER,Ferrovial N.V.,BME,57.82,EUR,3.18,-1.57,-4.65,-5.49,6.29,5.05,27.08,140.52,210.86,750.50,2.59,2.47,58.36,59.18,57.76,58.27,54.98,47.38,2,SIDEWAYS,NEUTRAL
[object Object],P911,Porsche AG,XETR,45.24,EUR,1.96,1.09,6.20,7.71,6.62,-1.57,-1.76,-46.14,-46.14,-46.14,2.63,2.88,44.95,42.72,40.71,41.51,43.07,60.19,2,SIDEWAYS,NEUTRAL
[object Object],GALD,Galderma Group AG,SIX,159.55,CHF,2.97,-1.85,2.34,2.14,9.88,-2.71,58.13,161.56,161.56,161.56,3.42,2.58,161.28,159.21,155.11,154.26,149.32,51.06,2,SIDEWAYS,NEUTRAL
[object Object],PKN,ORLEN Spolka Akcyjna,GPW,145.48,PLN,1.49,1.03,15.48,31.13,46.95,50.32,100.97,93.46,111.45,555.32,2.49,2.76,143.06,135.05,133.28,119.50,104.38,62.45,2,SIDEWAYS,NEUTRAL
[object Object],LR,Legrand SA,EURONEXT,151.20,EUR,3.85,-2.17,1.34,0.17,19.34,19.29,39.81,73.87,208.57,530.00,2.79,2.78,152.89,151.04,144.89,140.90,138.13,51.48,2,SIDEWAYS,NEUTRAL
[object Object],ELE,Endesa S.A.,BME,36.34,EUR,0.28,-1.76,-2.05,12.86,16.18,18.76,36.46,58.34,102.11,84.47,1.40,1.81,36.54,37.42,36.57,34.11,31.40,44.95,2,SIDEWAYS,NEUTRAL
[object Object],ERIC_B,Telefonaktiebolaget LM Ericsson Class B,OMXSTO,120.20,SEK,0.54,4.70,16.30,18.54,34.45,32.67,44.12,7.42,89.74,-83.36,2.52,2.61,115.49,110.63,109.27,102.27,92.59,72.95,2,SIDEWAYS,OVERBOUGHT
[object Object],HOT,HOCHTIEF Aktiengesellschaft,XETR,481.40,EUR,4.29,-6.89,4.65,21.26,70.59,43.36,193.54,581.87,332.14,2862.46,4.60,4.92,512.66,480.81,445.33,407.67,331.78,49.94,2,SIDEWAYS,NEUTRAL
[object Object],TSCO,Tesco PLC,LSE,460.20,GBX,0.11,0.20,-6.76,-7.31,3.30,3.91,23.54,101.84,185.57,1214.87,2.60,2.33,460.22,475.88,474.58,462.90,452.10,43.93,2,SIDEWAYS,NEUTRAL
[object Object],ACS,"ACS, Actividades de Construccion y Servicios SA",BME,126.30,EUR,1.61,-3.81,4.21,20.29,64.45,48.76,111.91,390.49,350.27,1480.08,3.31,3.31,132.51,126.21,118.22,107.70,89.98,50.11,2,SIDEWAYS,NEUTRAL
[object Object],VOD,Vodafone Group Public Limited Company,LSE,114.00,GBX,0.75,1.47,0.13,-1.94,28.44,15.83,58.47,-10.22,-49.98,134.41,2.46,2.83,114.81,115.73,113.54,110.52,99.80,48.55,2,SIDEWAYS,NEUTRAL
