name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
SRG,Snam S.p.A.,MIL,6.32,EUR,-1.34,-3.98,-6.07,1.61,11.63,12.11,27.39,31.39,46.84,216.73,1.72,1.85,6.50,6.62,6.54,6.24,5.77,36.52,3,SIDEWAYS,NEUTRAL
VER,VERBUND AG Class A,VIE,62.05,EUR,2.06,1.06,-5.84,3.76,-2.97,0.08,-4.61,-13.64,428.09,348.11,2.27,2.75,61.27,63.49,64.06,62.66,63.08,47.80,3,SIDEWAYS,NEUTRAL
PUB,Publicis Groupe SA,EURONEXT,77.10,EUR,0.86,-5.35,2.83,5.76,-11.24,-13.41,-19.94,38.97,22.67,1001.43,2.26,2.22,79.39,77.38,75.59,78.85,80.88,46.86,3,SIDEWAYS,NEUTRAL
FORTUM,Fortum Oyj,OMXHEX,20.24,EUR,0.15,-6.86,-9.56,-2.22,5.39,11.21,36.11,-10.28,60.13,345.81,2.12,2.52,20.92,21.56,21.26,20.23,18.51,37.71,3,SIDEWAYS,NEUTRAL
HEIO,Heineken Holding N.V.,EURONEXT,60.50,EUR,1.42,-1.71,-5.17,-15.56,-2.89,-3.35,-13.26,-28.74,-15.75,150.83,1.29,1.93,60.32,61.60,62.76,63.86,61.92,45.45,3,SIDEWAYS,NEUTRAL
ESSITY_B,Essity AB Class B,OMXSTO,246.90,SEK,-0.48,0.82,0.04,-10.99,-6.72,-7.15,-10.64,-13.09,-0.40,-0.40,2.29,1.83,246.15,246.57,251.29,260.83,257.54,48.16,3,SIDEWAYS,NEUTRAL
CVC,CVC Capital Partners plc,EURONEXT,13.08,EUR,-1.28,-4.18,13.34,-0.23,-7.17,-8.15,-20.24,-24.57,-24.57,-24.57,1.57,2.68,13.27,12.53,12.02,12.96,14.08,56.97,3,SIDEWAYS,NEUTRAL
MONC,Moncler SpA,MIL,50.80,EUR,0.00,-7.33,-4.51,-0.59,-12.11,-8.96,-12.86,-1.93,225.64,252.78,2.75,2.98,52.16,53.58,53.28,52.95,52.32,41.05,3,SIDEWAYS,NEUTRAL
LUND_B,L E Lundbergforetagen AB Class B,OMXSTO,517.50,SEK,-0.96,-2.63,-5.91,-7.34,0.98,1.17,-0.67,9.55,135.23,1684.48,1.42,1.70,528.25,541.15,539.87,535.55,514.95,38.43,3,SIDEWAYS,NEUTRAL
BVI,Bureau Veritas SA,EURONEXT,26.36,EUR,0.50,-1.64,-3.48,-2.15,-6.26,-2.59,-10.34,5.86,30.33,36258.62,1.57,2.61,26.22,26.70,27.03,27.26,27.11,47.88,3,SIDEWAYS,NEUTRAL
TEL2_B,Tele2 AB Class B,OMXSTO,181.70,SEK,-1.92,-1.86,-7.77,-2.18,25.31,17.57,31.33,64.58,144.41,68.17,1.46,1.99,185.26,189.57,189.82,178.21,166.95,38.21,3,SIDEWAYS,NEUTRAL
INF,Informa Plc,LSE,796.00,GBX,0.66,-3.56,1.43,-3.19,-13.94,-10.48,-0.60,45.92,30.08,233.82,2.18,2.15,803.80,800.16,787.33,826.94,870.95,48.44,3,SIDEWAYS,NEUTRAL
SPSN,Swiss Prime Site AG,SIX,129.20,CHF,-1.00,-3.73,-5.76,-5.28,11.38,5.21,13.93,44.92,52.54,160.39,1.68,1.59,132.41,135.12,136.93,133.14,123.30,31.93,3,SIDEWAYS,NEUTRAL
BCVN,Banque Cantonale Vaudoise,SIX,114.40,CHF,0.62,-2.14,-14.88,8.44,19.17,14.06,21.06,31.04,73.99,1261.90,2.59,2.54,116.85,123.78,122.94,114.18,104.32,35.06,3,SIDEWAYS,NEUTRAL
ERF,Eurofins Scientific SE,EURONEXT,59.16,EUR,0.58,-1.40,-12.25,-7.91,-0.40,-5.19,8.51,-28.47,82.45,42831.79,1.94,2.58,59.04,62.99,62.91,65.15,63.62,40.68,3,SIDEWAYS,NEUTRAL
PAH3,Porsche Automobil Holding SE Pref,XETR,32.36,EUR,1.22,1.89,0.50,-9.56,-13.73,-18.90,-14.66,-62.50,-33.55,-9.90,2.02,2.07,31.59,31.93,32.12,34.69,35.30,55.34,3,SIDEWAYS,NEUTRAL
TUB,Financiere de Tubize S.A.,EURONEXT,203.40,EUR,0.79,0.30,-11.02,-12.14,1.90,-3.14,64.83,162.45,261.92,10177.92,2.45,2.90,200.44,210.68,212.24,218.54,205.29,45.83,3,SIDEWAYS,NEUTRAL
IDR,"Indra Sistemas, S.A. Class A",BME,50.94,EUR,2.08,-5.42,0.47,1.58,1.88,4.60,73.03,526.18,418.53,308.17,3.52,4.43,50.99,51.22,52.79,53.05,47.09,48.72,3,SIDEWAYS,NEUTRAL
BZU,Buzzi Spa,MIL,46.64,EUR,-0.38,-4.82,-3.54,-1.10,-9.87,-10.74,-4.89,95.97,183.01,251.18,2.87,3.12,47.06,47.09,45.68,47.87,47.93,48.50,3,SIDEWAYS,NEUTRAL
ALO,Alstom SA,EURONEXT,17.57,EUR,2.36,-0.26,-21.89,-39.40,-25.24,-29.84,-15.83,-58.12,-9.72,-18.93,3.14,4.11,17.22,19.40,21.29,24.20,23.00,40.06,3,SIDEWAYS,NEUTRAL
SECU_B,Securitas AB Class B,OMXSTO,151.50,SEK,0.26,-3.07,-9.55,-4.78,5.50,2.30,6.43,29.22,45.76,16.80,1.65,1.74,155.35,161.63,158.99,154.58,149.15,35.76,3,SIDEWAYS,NEUTRAL
STERV,Stora Enso Oyj Class R,OMXHEX,9.60,EUR,0.78,-0.10,-6.52,-20.69,-8.74,-10.57,6.67,-38.88,30.29,-45.38,2.96,2.56,9.55,9.93,10.09,10.40,10.05,42.37,3,SIDEWAYS,NEUTRAL
PSPN,PSP Swiss Property AG,SIX,147.60,CHF,-0.54,-3.47,-6.76,-6.46,5.58,3.43,5.43,29.36,62.20,288.42,2.10,1.70,151.50,155.71,157.72,154.24,145.82,28.25,3,SIDEWAYS,OVERSOLD
RAA,Rational Aktiengesellschaft,XETR,643.50,EUR,0.55,-4.74,-5.92,-14.14,1.26,-2.43,-17.71,-16.43,54.69,1769.55,1.81,2.36,641.70,657.28,658.41,675.60,662.22,45.86,3,SIDEWAYS,NEUTRAL
