ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200,price_target_average,price_target_high,price_target_low,price_target_median,earnings_per_share_forecast_next_fy,earnings_per_share_forecast_fq,earnings_per_share_forecast_next_fq,revenue_forecast_next_fy,revenue_forecast_fq,revenue_forecast_next_fq
[object Object],NVDA,NVIDIA Corporation,NASDAQ,222.87,stock,common,100.00,1.00,false,0.00,USD,2.47,25162397.00,0.20,5393454000000.00,USD,34.13,6.53,110.33,0.13,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,2.47,2.77,6.87,-3.04,15.46,17.40,21.81,1021.64,15056.07,509314.81,2.57,3.56,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,61.68,32.86,16.02,120.52,84.31,85.79,0.00,221.05,1.63,0.40,2199069.00,1.63,25162397.00,-75.15,0.00,0.00,0.00,11.33,34.13,0.30,20.93,27.62,43.26,45.65,67.47,5325696000000.00,21.01,32.82,32.18,213.45,206.57,206.24,203.25,194.55,314.29,743.10,180.00,300.00,9.00,1.75,2.08,393636754730.00,78906699004.00,91879659431.00
[object Object],AAPL,Apple Inc.,NASDAQ,303.70,stock,common,100.00,1.00,false,0.00,USD,-0.40,5813379.00,0.09,4432252424327.03,USD,34.81,8.72,32.61,0.34,Electronic technology,america,Electronic Technology,Buy,Buy,-0.40,-1.83,-4.20,1.29,10.20,11.55,33.20,107.74,1019.42,236522.31,1.66,2.34,Sell,Sell,Sell,Sell,Neutral,Neutral,41.13,-34.49,-4.91,-97.54,12.62,19.29,0.00,305.00,0.03,0.03,509832.00,0.06,5813379.00,-84.49,0.00,0.00,0.00,59.31,34.81,1.07,9.61,41.26,30.46,32.69,71.62,4454197424327.03,9.54,28.76,26.52,310.88,318.56,309.51,292.97,280.09,330.45,400.00,245.00,340.00,8.82,1.89,1.98,477222147281.00,109038899874.00,113340906867.00
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,342.12,stock,common,100.00,1.00,false,0.00,USD,-0.49,4983478.00,0.16,4179666439304.20,USD,17.19,19.91,112.02,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.49,-10.75,-3.95,-13.89,9.62,7.96,69.90,151.60,744.24,13569.97,2.03,3.25,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,45.12,5.41,2.10,-21.65,46.57,53.18,0.00,346.47,0.78,0.61,422833.00,0.73,4983478.00,-82.86,0.00,0.00,0.00,71.84,17.19,0.15,9.48,6.72,22.68,79.05,17.37,4072563885304.20,9.12,26.87,22.96,355.89,351.71,354.44,351.70,330.55,428.39,550.00,340.00,426.50,20.44,2.88,3.02,495822887162.00,116445882659.00,126392830454.00
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,341.18,stock,common,100.00,1.00,false,0.00,USD,-0.53,3221168.00,0.16,4177965265059.15,USD,17.14,19.91,112.02,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.53,-10.22,-3.62,-13.36,9.23,7.43,68.82,147.75,769.25,1104.58,1.87,3.19,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,45.04,5.42,2.20,-23.00,46.67,53.56,0.00,345.69,0.78,0.36,319331.00,0.68,3221168.00,-82.48,0.00,0.00,0.00,71.84,17.14,0.15,9.46,6.70,22.62,78.83,17.32,4070862711059.15,9.12,26.86,22.95,354.84,350.36,352.81,349.60,329.71,428.09,550.00,340.00,425.00,20.44,2.88,3.02,495815759656.00,116425581881.00,126383702078.00
[object Object],MSFT,Microsoft Corporation,NASDAQ,493.57,stock,common,100.00,1.00,false,0.00,USD,-2.03,5256799.00,0.11,3665026430330.47,USD,27.50,17.95,31.55,0.71,Technology services,america,Technology Services,StrongBuy,Strong buy,-2.03,-0.56,27.29,22.03,21.87,1.90,-5.76,72.20,750.54,507567.94,1.87,3.00,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,71.42,103.03,85.23,77.85,90.65,93.77,0.00,499.41,-0.87,-0.54,267674.00,-0.76,5256799.00,-77.19,0.00,0.00,0.00,-23.31,27.50,0.89,11.30,8.29,20.08,54.84,47.81,3716996430330.47,11.20,23.94,18.71,488.70,422.78,410.33,407.29,432.80,562.69,700.00,400.00,550.00,19.69,4.24,4.71,390203085398.00,87619545211.00,90551328742.00
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,269.91,stock,common,100.00,1.00,false,0.00,USD,-0.87,5267177.00,0.09,2911334016567.79,USD,21.71,12.43,89.73,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,-0.87,-4.15,10.31,0.28,32.33,16.67,21.46,64.08,601.12,221366.43,2.10,2.71,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,59.06,43.26,24.07,57.58,77.43,79.09,0.00,273.10,0.30,-0.06,377135.00,0.33,5267177.00,-83.49,0.00,0.00,0.00,0.80,21.71,0.24,3.83,5.28,18.23,0.00,23.87,3030058016567.79,3.91,30.80,17.46,270.82,252.09,247.79,247.76,237.33,329.40,400.00,230.00,328.00,12.56,1.82,1.96,828127580720.00,197034781840.00,201800647628.00
[object Object],AVGO,Broadcom Inc.,NASDAQ,421.70,stock,common,100.00,1.00,false,0.00,USD,1.35,2181935.00,0.12,2006271454199.19,USD,70.20,6.01,125.81,0.61,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,1.35,0.00,7.17,1.19,22.65,19.54,37.53,774.39,2350.75,25457.58,2.95,3.81,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,60.45,51.38,33.15,99.15,79.96,84.23,0.00,426.56,2.52,0.20,128488.00,2.45,2181935.00,-83.06,0.00,0.00,0.00,29.54,70.20,0.55,26.88,22.88,61.16,62.76,104.76,2051550454199.19,27.19,61.59,48.77,411.43,392.05,393.58,391.04,368.75,529.43,675.00,215.88,527.50,11.59,2.40,3.21,105647201255.00,22130302985.00,29247819031.00
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,431.20,dr,0.00,100.00,1.00,false,0.00,USD,2.17,2241447.00,0.17,1924665558580.70,USD,31.12,13.86,57.78,0.65,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,2.17,2.83,-0.60,6.94,13.77,38.21,76.92,273.17,1379.75,8164.07,2.40,3.43,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,56.91,56.53,-0.39,134.58,91.35,88.71,0.00,432.66,2.51,0.34,242037.00,2.51,2241447.00,-76.90,0.00,0.00,0.00,84.07,31.12,0.53,15.33,0.00,25.35,56.04,20.25,1846389131477.91,12.93,23.15,18.11,415.48,417.61,425.73,403.53,362.19,545.45,650.00,440.00,536.00,16.65,3.81,4.38,168308304962.00,39834731029.00,45040271091.00
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,138.66,stock,common,100.00,1.00,false,0.00,USD,4.03,25415395.00,0.19,1827785485715.85,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,4.03,23.40,-4.17,-7.56,-7.56,-7.56,-7.56,-7.56,-7.56,-7.56,8.89,7.83,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,55.01,26.11,-5.41,142.03,91.90,87.93,0.00,135.05,1.32,1.01,3398692.00,1.32,25415395.00,-76.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.36,0.00,0.00,18.23,1767274485715.85,0.00,0.00,0.00,122.74,130.09,0.00,0.00,0.00,226.26,800.00,75.00,217.00,0.00,-0.23,0.13,0.00,6826708501.00,12783005745.00
[object Object],META,Meta Platforms Inc Class A,NASDAQ,589.11,stock,common,100.00,1.00,false,0.00,USD,-1.67,2271327.00,0.11,1500761326350.81,USD,22.19,26.55,-3.86,0.35,Technology services,america,Technology Services,StrongBuy,Strong buy,-1.67,-1.89,-10.93,-4.37,-12.07,-11.11,-23.79,64.35,371.63,1300.98,2.56,3.32,StrongSell,Strong sell,StrongSell,Strong sell,Sell,Sell,46.74,3.50,-8.47,-25.71,70.94,62.38,0.00,600.98,0.31,0.10,189661.00,0.32,2271327.00,-82.72,0.00,0.00,0.00,-14.41,22.19,0.00,6.74,5.75,11.60,36.89,16.62,1522117326350.81,6.67,17.51,13.88,582.78,611.47,598.05,608.23,629.21,745.98,1000.00,580.00,750.00,31.71,7.19,6.75,254068711208.00,60223636026.00,63263557780.00
