ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200,price_target_average,price_target_high,price_target_low,price_target_median,earnings_per_share_forecast_next_fy,earnings_per_share_forecast_fq,earnings_per_share_forecast_next_fq,revenue_forecast_next_fy,revenue_forecast_fq,revenue_forecast_next_fq
[object Object],NVDA,NVIDIA Corporation,NASDAQ,219.56,stock,common,100.00,1.00,false,0.00,USD,0.10,73124195.00,0.68,5291395911654.48,USD,27.76,7.91,125.15,0.13,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,0.10,-0.76,-0.95,5.90,23.35,15.66,26.20,938.31,13730.55,501749.13,1.55,2.45,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,51.91,-8.89,-4.31,3.60,33.57,23.60,spinning_top_white,219.09,-0.11,1.08,1765000.00,0.00,73124195.00,-22.37,0.00,0.00,0.00,26.27,27.76,0.22,17.58,23.15,39.68,41.98,53.66,5230886911654.48,17.27,26.47,25.99,219.23,219.59,214.22,211.73,198.36,333.47,710.29,180.00,318.20,9.26,2.09,2.47,408908399515.00,92270936574.00,108704835183.00
[object Object],AAPL,Apple Inc.,NASDAQ,335.83,stock,common,100.00,1.00,false,0.00,USD,-0.35,28683988.00,0.65,4901163364453.62,USD,38.50,8.72,32.61,0.31,Electronic technology,america,Electronic Technology,Buy,Buy,-0.35,2.56,8.28,12.65,35.43,23.35,39.95,133.54,1066.18,261555.81,1.60,2.18,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,63.87,7.62,16.83,118.15,90.59,87.98,0.00,337.92,0.27,0.06,578972.00,0.27,28683988.00,-21.84,0.00,0.00,0.00,39.19,38.50,1.18,10.62,45.63,33.68,36.15,79.19,4923108364453.62,10.55,31.79,29.31,328.00,317.87,320.14,308.51,286.34,337.68,405.00,245.00,342.83,8.83,1.89,1.98,477450887019.00,109038899874.00,113250569717.00
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,351.43,stock,common,100.00,1.00,false,0.00,USD,1.18,25780428.00,1.06,4277577082611.50,USD,17.66,19.91,112.02,0.24,Technology services,america,Technology Services,StrongBuy,Strong buy,1.18,4.90,2.62,-3.92,15.05,10.90,39.63,154.36,777.36,13942.17,2.15,1.86,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,56.29,8.95,0.88,164.33,77.11,78.70,0.00,357.21,2.84,1.89,1067166.00,2.87,25780428.00,34.01,0.00,0.00,0.00,59.41,17.66,0.16,9.58,6.90,23.30,81.20,17.84,4170474528611.50,9.34,27.51,23.51,341.46,343.42,345.61,359.11,337.51,426.58,515.00,340.00,425.00,20.60,2.88,3.04,497656986340.00,116376088547.00,126846221867.00
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,347.62,stock,common,100.00,1.00,false,0.00,USD,1.15,17462108.00,1.12,4276138899403.83,USD,17.46,19.91,112.02,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,1.15,4.48,2.30,-4.47,14.32,9.46,38.02,150.09,800.08,1127.32,2.10,1.80,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,55.96,8.54,-0.05,161.13,75.73,76.98,0.00,351.22,2.19,2.00,642767.00,2.19,17462108.00,14.01,0.00,0.00,0.00,59.41,17.46,0.15,9.48,6.83,23.04,80.32,17.65,4169036345403.83,9.34,27.50,23.51,338.27,340.57,343.54,356.66,336.19,426.25,515.00,340.00,425.00,20.60,2.88,3.03,497681481233.00,116353870857.00,126846545896.00
[object Object],MSFT,Microsoft Corporation,NASDAQ,496.48,stock,common,100.00,1.00,false,0.00,USD,-0.26,13495311.00,0.75,3686597657507.05,USD,27.67,17.95,31.55,0.73,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.26,0.17,3.42,31.41,28.36,2.50,-2.94,67.54,766.90,510555.91,2.01,1.81,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,54.78,-13.64,2.34,-19.08,28.61,31.43,0.00,497.75,0.00,0.25,235651.00,0.04,13495311.00,-24.36,0.00,0.00,0.00,-0.91,27.67,0.88,11.16,8.34,20.20,55.16,48.09,3738567657507.05,11.27,24.08,18.82,496.04,495.83,464.73,434.62,431.62,567.45,700.00,400.00,558.00,19.73,4.24,4.71,390596458299.00,87619545211.00,90585590186.00
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,254.27,stock,common,100.00,1.00,false,0.00,USD,1.23,26943479.00,0.88,2742636202652.52,USD,20.45,12.43,89.73,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,1.23,0.07,-2.52,5.89,22.60,9.91,9.36,49.75,552.00,208533.51,1.87,1.78,Sell,Sell,Sell,Sell,Sell,Sell,48.60,-4.63,-10.90,-39.12,28.82,18.24,0.00,252.99,0.72,0.40,553583.00,0.69,26943479.00,-11.48,0.00,0.00,0.00,14.41,20.45,0.23,3.53,4.97,17.18,0.00,22.49,2861360202652.52,3.69,29.08,16.48,252.99,259.66,255.85,255.09,240.30,330.86,405.00,230.00,330.00,12.77,1.82,1.96,828589237011.00,197034781840.00,202117916174.00
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,151.50,stock,common,100.00,1.00,false,0.00,USD,-2.13,74048180.00,0.82,2056084819419.33,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,-2.13,1.00,4.52,-19.58,1.00,1.00,1.00,1.00,1.00,1.00,4.34,4.28,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,56.71,1.76,11.16,100.51,78.80,69.70,upside_tasuki_gap_bullish,154.54,-0.17,0.51,1305815.00,-0.14,74048180.00,-11.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.69,0.00,0.00,19.92,1995573819419.33,0.00,0.00,0.00,149.72,143.38,134.60,0.00,0.00,222.94,800.00,75.00,212.00,0.00,-0.23,0.14,0.00,6826708501.00,12855870565.00
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,430.44,dr,0.00,100.00,1.00,false,0.00,USD,0.04,5062438.00,0.48,1971035746488.44,USD,31.07,13.86,57.78,0.64,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,0.04,-0.26,2.94,-1.92,27.85,37.97,66.84,273.65,1339.12,8149.50,1.76,1.92,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,54.86,13.43,1.28,89.11,50.24,36.34,shooting_star_bearish,430.21,-0.01,0.13,88757.00,-0.28,5062438.00,-59.33,0.00,0.00,0.00,104.32,31.07,0.54,15.62,11.06,25.30,55.95,20.21,1895450344765.09,13.27,23.77,18.60,427.47,422.15,417.29,420.20,379.31,543.66,650.00,440.00,535.00,16.79,3.81,4.40,169099772917.00,39834731029.00,45170344444.00
[object Object],META,Meta Platforms Inc Class A,NASDAQ,672.97,stock,common,100.00,1.00,false,0.00,USD,-1.37,16099597.00,0.80,1714394942092.25,USD,25.35,26.55,-3.86,0.31,Technology services,america,Technology Services,StrongBuy,Strong buy,-1.37,2.98,24.32,17.48,11.51,1.55,-13.80,87.30,418.03,1500.40,2.82,2.89,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,69.16,62.29,71.07,104.82,91.86,93.11,0.00,686.92,0.68,0.45,611918.00,0.92,16099597.00,1.08,0.00,0.00,0.00,-20.19,25.35,0.00,7.67,6.56,13.25,42.14,18.98,1735750942092.25,7.60,19.97,15.83,654.08,601.79,607.52,604.01,624.19,751.05,1000.00,580.00,750.00,31.31,7.19,6.74,254115544654.00,60223636026.00,63246263984.00
[object Object],AVGO,Broadcom Inc.,NASDAQ,355.60,stock,common,100.00,1.00,false,0.00,USD,2.39,18424321.00,0.61,1697502726663.73,USD,45.40,7.83,100.12,0.73,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,2.39,-2.54,-4.51,-13.18,11.08,0.80,1.60,612.63,1972.87,21451.52,2.43,2.37,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,44.30,-1.56,-30.72,-22.09,30.27,16.79,0.00,352.13,1.39,1.23,344940.00,1.38,18424321.00,-24.46,0.00,0.00,0.00,24.88,45.40,0.44,19.05,17.03,42.75,44.10,72.48,1732946726663.73,19.45,40.04,33.30,354.01,372.55,379.71,393.08,369.09,533.94,715.00,350.00,527.50,11.67,3.22,3.83,105968604931.00,29240913570.00,34861670713.00
