name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
PEP,"PepsiCo, Inc.",NASDAQ,149.78,USD,0.34,-3.38,-3.06,-11.77,2.66,4.58,15.15,1.89,44.04,19932.42,2.36,2.15,153.42,155.13,155.39,154.72,150.37,39.67,2,SIDEWAYS,NEUTRAL
TJX,TJX Companies Inc,NYSE,147.40,USD,0.25,-5.54,-7.00,-3.73,0.85,-3.82,12.95,104.92,303.17,83176.37,2.46,1.97,152.33,157.02,157.13,156.19,149.24,30.53,2,SIDEWAYS,NEUTRAL
UBER,"Uber Technologies, Inc.",NYSE,73.75,USD,-1.27,-7.60,0.81,2.17,-18.10,-10.10,-18.57,63.79,75.61,75.61,2.70,3.21,75.43,74.67,74.20,76.56,84.52,46.47,2,SIDEWAYS,NEUTRAL
SYK,Stryker Corporation,NYSE,301.32,USD,-0.25,2.85,-13.37,-17.58,-18.96,-14.22,-22.13,19.64,171.80,361476.77,2.96,2.84,293.33,319.88,328.57,346.60,359.96,41.15,2,SIDEWAYS,NEUTRAL
PGR,Progressive Corporation,NYSE,197.47,USD,0.77,0.93,-0.34,-5.13,-11.08,-7.87,-30.40,84.38,494.63,369378.17,1.88,2.30,197.16,199.43,201.13,205.87,220.06,46.39,2,SIDEWAYS,NEUTRAL
DUK,Duke Energy Corporation,NYSE,123.90,USD,0.00,-0.88,-4.58,-1.20,0.46,5.73,9.58,20.09,53.76,659.07,1.15,1.54,125.60,127.92,128.94,125.30,124.06,37.57,2,SIDEWAYS,NEUTRAL
MCO,Moody's Corporation,NYSE,442.12,USD,0.87,-0.89,0.33,7.01,-9.79,-13.26,-8.97,33.11,370.34,3548.12,2.23,2.62,449.75,449.91,446.04,469.03,481.07,44.75,2,SIDEWAYS,NEUTRAL
MMM,3M Company,NYSE,147.20,USD,0.07,0.53,-3.89,-15.10,-12.85,-8.06,-2.35,-13.95,4.49,4042.61,1.63,2.51,144.13,146.83,147.32,155.51,157.59,52.02,2,SIDEWAYS,NEUTRAL
ORLY,"O'Reilly Automotive, Inc.",NASDAQ,90.45,USD,0.84,-4.52,-3.02,-4.05,-9.18,-0.31,3.42,143.49,426.76,55564.59,2.38,2.46,93.13,93.19,92.45,93.43,97.13,42.72,2,SIDEWAYS,NEUTRAL
HOOD,"Robinhood Markets, Inc. Class A",NASDAQ,76.16,USD,-0.77,-3.54,1.37,-3.44,-33.86,-34.05,22.10,100.42,100.42,100.42,4.25,4.68,77.16,78.37,76.45,87.24,105.37,46.96,2,SIDEWAYS,NEUTRAL
RSG,"Republic Services, Inc.",NYSE,205.58,USD,0.94,3.34,-3.48,-8.74,-1.15,-2.36,-13.73,85.24,324.75,1121.26,1.94,1.86,202.76,208.94,214.27,215.77,219.11,46.69,2,SIDEWAYS,NEUTRAL
