ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],NVDA,NVIDIA Corporation,NASDAQ,192.53,stock,common,100.00,1.00,false,0.00,USD,-1.64,179302023.00,1.20,4659225970459.00,USD,29.48,6.53,110.33,0.02,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-1.64,-7.14,-10.08,13.25,1.37,1.42,23.44,894.41,16881.70,439966.56,3.45,3.32,Sell,Sell,StrongSell,Strong sell,Sell,Sell,37.49,-12.34,-13.05,-164.85,10.43,11.19,0.00,193.12,-1.34,-1.20,1551771.00,-1.34,179302023.00,19.37,192.71,0.09,40198340.00,27.90,29.48,0.27,18.83,23.86,37.37,39.44,58.28,4591467970459.00,18.11,28.29,27.74,203.64,211.98,210.09,196.24,190.64
[object Object],AAPL,Apple Inc.,NASDAQ,283.78,stock,common,100.00,1.00,false,0.00,USD,3.14,261774949.00,4.73,4167977994122.00,USD,34.33,8.27,29.00,0.37,Electronic technology,america,Electronic Technology,Buy,Buy,3.14,-4.81,-7.96,11.77,3.51,4.23,40.88,112.71,1120.56,221002.00,3.92,2.74,Sell,Sell,Sell,Sell,Neutral,Neutral,41.25,-11.85,-9.11,-152.33,15.06,18.28,0.00,275.25,0.04,0.31,685996.00,-0.05,261774949.00,144.08,282.50,-0.45,88714540.00,42.99,34.33,1.15,8.98,39.09,29.80,32.35,61.00,4184181994122.00,9.27,28.39,26.16,292.41,300.29,291.50,276.16,269.46
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,337.39,stock,common,100.00,1.00,false,0.00,USD,-1.84,114706326.00,3.20,4073124199864.00,USD,25.74,13.11,46.19,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,-1.84,-7.75,-12.74,21.68,7.29,6.47,95.67,175.02,888.70,13381.18,4.47,3.05,Sell,Sell,StrongSell,Strong sell,Sell,Sell,33.27,-20.38,-29.31,-169.06,16.50,17.10,0.00,342.41,-0.38,-0.73,240479.00,-0.34,114706326.00,157.39,338.12,0.22,41647811.00,101.49,25.74,0.57,9.94,8.54,23.68,64.09,32.55,4040983377864.00,9.55,28.40,24.40,355.63,370.87,369.28,338.52,313.85
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,334.69,stock,common,100.00,1.00,false,0.00,USD,-2.19,82484198.00,3.57,4073124199864.00,USD,25.53,13.11,46.19,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,-2.19,-8.02,-12.56,20.65,5.94,5.38,93.03,163.54,891.42,1081.67,3.93,2.99,Sell,Sell,StrongSell,Strong sell,Sell,Sell,33.39,-21.87,-27.15,-169.16,11.63,16.07,0.00,340.84,-0.39,-1.09,152115.00,-0.35,82484198.00,197.91,336.15,0.44,29850999.00,101.49,25.53,0.57,9.90,8.47,23.49,63.57,32.29,4040983377864.00,9.55,28.40,24.40,354.27,368.21,366.63,336.87,313.34
[object Object],MSFT,Microsoft Corporation,NASDAQ,372.97,stock,common,100.00,1.00,false,0.00,USD,5.71,186200796.00,4.19,2770583250757.00,USD,22.21,16.79,29.75,0.95,Technology services,america,Technology Services,StrongBuy,Strong buy,5.71,-1.28,-9.26,3.06,-23.37,-23.00,-24.34,40.12,659.61,383523.22,4.67,3.15,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,40.43,-17.37,-38.73,-90.06,13.48,7.33,0.00,357.04,1.19,1.32,608511.00,1.22,186200796.00,180.59,372.73,-0.06,58478182.00,-25.80,22.21,0.71,8.25,6.69,16.32,38.08,35.48,2817743250757.00,8.85,18.92,14.63,377.52,406.30,410.97,401.44,447.99
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,232.69,stock,common,100.00,1.00,false,0.00,USD,2.50,248371939.00,4.38,2503071806731.00,USD,27.81,8.37,36.48,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,2.50,-3.09,-12.57,12.71,0.28,0.58,9.18,36.24,572.50,190826.69,4.03,3.08,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,39.49,-8.82,-20.39,-112.23,14.25,9.42,0.00,227.24,0.10,0.44,265763.00,0.09,248371939.00,219.01,231.90,-0.34,92478527.00,11.98,27.81,0.74,3.32,5.66,17.04,0.00,17.33,2583954806731.00,3.48,28.65,16.09,237.33,251.57,256.13,234.90,232.77
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,432.35,dr,0.00,100.00,1.00,false,0.00,USD,-0.61,17974035.00,1.27,1906802435083.70,USD,35.93,12.03,54.81,0.61,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-0.61,-1.49,1.25,33.10,44.16,38.58,92.17,268.62,1654.67,8186.11,4.02,3.93,Neutral,Neutral,Buy,Buy,Sell,Sell,51.69,11.28,21.41,-33.70,42.84,49.19,0.00,424.17,-2.49,-0.35,213898.00,-2.30,17974035.00,21.34,431.20,-0.27,2689964.00,105.36,35.93,0.66,16.98,12.17,28.27,61.96,21.18,1836481087101.21,13.82,25.99,19.82,439.76,425.45,412.64,382.74,340.17
[object Object],AVGO,Broadcom Inc.,NASDAQ,365.02,stock,common,100.00,1.00,false,0.00,USD,-3.67,34839053.00,1.07,1736611827849.00,USD,60.77,6.01,125.81,0.68,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-3.67,-10.88,-14.13,18.88,3.98,3.47,37.70,683.30,2391.60,22022.42,4.81,4.38,Sell,Sell,StrongSell,Strong sell,Sell,Sell,39.83,-20.55,-27.42,-94.04,14.20,15.23,0.00,370.78,-2.15,-0.79,271263.00,-2.23,34839053.00,48.81,366.50,0.41,9993899.00,46.03,60.77,0.50,24.48,19.81,52.94,54.33,90.68,1781890827849.00,23.61,53.49,42.36,385.53,409.58,411.97,370.93,361.32
[object Object],TSLA,"Tesla, Inc.",NASDAQ,379.71,stock,common,100.00,1.00,false,0.00,USD,1.22,53433941.00,1.16,1426085788523.00,USD,346.89,1.09,-39.80,0.00,Consumer durables,america,Consumer Durables,Neutral,Neutral,1.22,-4.62,-14.27,2.71,-21.75,-17.06,16.97,69.60,2884.21,29877.14,4.55,4.19,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,41.20,-19.44,-28.24,-118.84,11.40,11.86,engulfing_bullish,370.30,-1.28,-1.36,368954.00,-1.32,53433941.00,76.58,377.91,-0.47,8269546.00,33.68,346.89,0.00,13.56,16.95,81.28,191.92,29.81,1397591788523.00,14.28,263.85,120.61,393.61,409.60,404.76,397.93,417.96
[object Object],META,Meta Platforms Inc Class A,NASDAQ,550.25,stock,common,100.00,1.00,false,0.00,USD,1.36,18867676.00,1.11,1396767325167.00,USD,20.00,27.51,7.29,0.38,Technology services,america,Technology Services,StrongBuy,Strong buy,1.36,-3.94,-9.71,1.88,-17.63,-16.97,-22.97,60.68,395.68,1208.56,3.18,3.32,Sell,Sell,StrongSell,Strong sell,Buy,Buy,37.38,-18.18,-37.75,-118.23,6.94,5.43,tweezer_bottom_bullish,543.00,0.02,0.52,112585.00,0.09,18867676.00,11.19,551.09,0.15,4760545.00,-20.55,20.00,2.71,6.48,5.73,11.38,29.24,17.31,1402016325167.00,6.52,15.83,12.83,568.23,593.93,612.90,621.33,650.02
