ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],WMT,Walmart Inc.,NASDAQ,120.82,stock,common,100.00,1.00,false,0.00,USD,-0.18,20700391.00,0.83,961495124323.41,USD,42.56,2.84,21.78,0.80,Retail trade,america,Retail Trade,StrongBuy,Strong buy,-0.18,2.18,-9.63,-4.60,4.88,8.43,27.82,159.18,409.07,687236.44,2.22,2.27,Sell,Sell,Sell,Sell,Neutral,Neutral,46.75,6.22,-4.72,-8.10,87.97,74.79,0.00,120.00,-0.86,-0.41,157810.00,-1.07,20700391.00,40.14,120.45,-0.31,4327018.00,21.06,42.56,1.96,1.33,10.20,23.63,76.99,90.08,1031590124323.41,1.42,34.18,23.01,118.82,123.99,125.50,124.99,116.14
[object Object],AMD,"Advanced Micro Devices, Inc.",NASDAQ,547.26,stock,common,100.00,1.00,false,0.00,USD,6.98,33370838.00,1.06,892362489436.32,USD,179.61,3.05,123.35,0.00,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,6.98,12.84,26.29,178.25,160.56,150.00,371.59,577.72,12225.68,119300.45,7.99,5.93,StrongBuy,Strong buy,StrongBuy,Strong buy,Neutral,Neutral,65.24,37.13,43.92,134.88,68.60,49.44,rising_window_bullish,535.82,4.74,4.97,369608.00,4.73,33370838.00,5.54,546.87,-0.07,3776837.00,342.34,179.61,1.36,22.54,13.84,92.85,105.32,73.07,883875489436.32,23.60,202.49,119.70,501.92,465.69,393.37,302.51,255.83
[object Object],ASML,ASML Holding NV Sponsored ADR,NASDAQ,1892.66,dr,0.00,100.00,1.00,false,0.00,USD,1.56,2318010.00,1.02,719950722428.74,USD,63.11,29.99,26.40,0.40,Electronic technology,america,Electronic Technology,Buy,Buy,1.56,9.23,25.20,36.65,78.42,66.94,146.80,168.06,1898.37,68989.86,5.43,3.88,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,67.25,264.09,229.69,150.15,93.37,86.84,doji,1893.17,1.59,2.46,99949.00,1.66,2318010.00,-8.43,1891.49,-0.06,229282.00,111.03,63.11,2.35,18.40,30.39,61.63,72.79,75.64,713416941888.74,18.26,52.49,48.20,1774.76,1625.62,1548.59,1471.76,1250.77
[object Object],INTC,Intel Corporation,NASDAQ,127.86,stock,common,100.00,1.00,false,0.00,USD,2.64,133354078.00,1.00,642624358425.49,USD,0.00,-0.63,86.00,0.00,Electronic technology,america,Electronic Technology,Neutral,Neutral,2.64,15.19,16.46,177.47,240.19,238.52,528.92,119.88,296.47,316934.47,8.86,7.13,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,64.26,18.53,4.66,162.16,80.53,62.03,0.00,129.60,4.04,4.10,3375429.00,3.95,133354078.00,-11.99,125.55,-1.81,12886416.00,592.57,0.00,0.00,11.78,5.77,65.12,0.00,19.82,668461358425.49,12.43,504.12,49.54,112.62,114.64,97.24,71.70,54.02
[object Object],LRCX,Lam Research Corporation,NASDAQ,388.92,stock,common,100.00,1.00,false,0.00,USD,6.03,13410118.00,1.21,486372087554.21,USD,73.41,5.30,47.60,0.28,Producer manufacturing,america,Producer Manufacturing,Buy,Buy,6.03,22.09,34.37,76.36,137.35,118.68,338.12,502.34,4609.04,174914.88,7.97,5.39,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,72.69,71.80,49.74,226.07,93.95,82.08,rising_window_bullish,386.00,5.23,4.87,87084.00,5.23,13410118.00,44.87,388.00,-0.24,3494831.00,275.84,73.41,1.45,21.27,45.95,70.31,81.43,102.93,485355630554.21,22.39,65.35,61.85,340.95,311.07,289.34,258.02,205.91
[object Object],CSCO,"Cisco Systems, Inc.",NASDAQ,120.17,stock,common,100.00,1.00,false,0.00,USD,-0.77,23127827.00,0.94,473642215684.75,USD,39.18,3.07,25.71,1.36,Electronic technology,america,Electronic Technology,Buy,Buy,-0.77,-2.74,4.85,51.77,54.26,56.79,86.05,123.16,321.80,155443.76,3.55,3.42,Buy,Buy,Buy,Buy,Sell,Sell,57.49,-1.16,9.76,0.60,32.69,34.54,0.00,122.18,0.89,0.63,31976.00,1.21,23127827.00,26.91,120.30,0.11,5497059.00,84.75,39.18,1.54,7.94,9.69,36.74,40.59,28.76,490003215684.75,8.07,33.69,28.69,123.26,113.97,102.80,91.02,81.89
[object Object],AMAT,"Applied Materials, Inc.",NASDAQ,585.78,stock,common,100.00,1.00,false,0.00,USD,3.27,11640623.00,1.19,465085544139.34,USD,55.04,10.64,29.54,0.34,Producer manufacturing,america,Producer Manufacturing,Buy,Buy,3.27,23.06,36.73,69.21,126.91,119.33,242.45,319.88,2357.13,1058430.15,7.21,5.17,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,76.11,127.61,89.91,194.27,95.16,87.22,rising_window_bullish,588.00,3.66,4.01,74558.00,4.01,11640623.00,44.35,586.00,0.04,2073486.00,178.10,55.04,1.80,15.62,19.45,58.56,87.60,56.79,464112544139.34,15.99,53.07,50.26,513.96,459.10,431.96,388.91,311.34
[object Object],COST,Costco Wholesale Corporation,NASDAQ,979.45,stock,common,100.00,1.00,false,0.00,USD,-0.30,1891672.00,0.86,434365320238.64,USD,49.26,19.88,12.78,0.55,Retail trade,america,Retail Trade,Buy,Buy,-0.30,1.66,-6.66,-2.69,14.09,13.74,-1.96,154.80,529.06,38753.96,1.80,2.16,Sell,Sell,Sell,Sell,Neutral,Neutral,45.30,33.34,-27.92,-39.72,47.35,39.81,0.00,974.19,-0.83,-0.40,6941.00,-0.83,1891672.00,8.86,980.00,0.06,428649.00,-1.47,49.26,3.87,1.49,12.96,29.02,49.43,21.77,422601320238.64,1.44,37.65,30.65,972.45,1004.76,1004.25,996.23,957.56
[object Object],ARM,ARM Holdings PLC Sponsored ADR,NASDAQ,412.55,dr,0.00,100.00,1.00,false,0.00,USD,8.33,13972978.00,1.08,405181837402.00,USD,487.42,0.85,13.60,0.00,Electronic technology,america,Electronic Technology,Buy,Buy,8.33,16.54,92.07,229.59,239.34,265.64,203.77,635.38,635.38,635.38,12.95,10.03,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,67.63,3.70,66.31,103.08,63.44,47.92,0.00,389.90,2.39,4.55,495630.00,2.54,13972978.00,-15.48,409.35,-0.78,635979.00,141.38,487.42,33.09,82.66,52.98,289.11,450.05,122.36,402071837402.00,81.72,447.24,350.24,366.52,294.72,248.27,186.78,163.63
[object Object],NFLX,"Netflix, Inc.",NASDAQ,81.67,stock,common,100.00,1.00,false,0.00,USD,1.66,36357540.00,0.99,343895884739.72,USD,26.39,3.09,46.24,0.00,Technology services,america,Technology Services,Buy,Buy,1.66,0.01,-6.87,-14.30,-14.91,-13.24,-32.31,64.99,763.23,70522.70,2.18,2.21,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,35.84,-4.18,-5.44,-81.31,16.37,12.26,0.00,80.72,0.47,0.59,405800.00,0.34,36357540.00,2.87,81.71,0.05,5099179.00,-28.39,26.39,0.56,7.30,11.05,27.75,29.51,28.55,348342677739.72,7.37,24.32,11.06,81.79,85.79,90.51,89.34,99.01
