ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],TTE,TotalEnergies SE,EURONEXT,77.38,EUR,-0.26,2.33,-2.30,16.15,36.50,39.05,45.92,95.33,79.95,3071.31,1.54,2.04,76.85,77.68,77.68,71.29,62.64,50.52,2,SIDEWAYS,NEUTRAL
[object Object],ABBN,ABB Ltd.,SIX,84.66,CHF,-1.05,1.44,8.01,26.36,44.03,42.05,80.63,170.83,311.77,226.34,2.12,2.27,84.14,81.13,75.94,71.06,64.09,62.05,3,SIDEWAYS,NEUTRAL
[object Object],ABI,Anheuser-Busch InBev SA/NV,EURONEXT,67.56,EUR,-1.52,-5.88,0.24,6.46,28.64,24.47,8.83,7.49,-41.30,253.16,2.15,2.10,70.26,68.14,65.72,64.36,58.66,45.92,3,SIDEWAYS,NEUTRAL
[object Object],IFX,Infineon Technologies AG,XETR,85.05,EUR,-3.35,10.51,50.13,104.10,132.38,125.51,141.62,157.38,536.84,35.93,5.78,5.41,80.71,67.20,57.26,49.73,42.26,75.05,3,SIDEWAYS,OVERBOUGHT
[object Object],DHL,Deutsche Post AG,XETR,52.30,EUR,-0.46,3.40,11.42,11.61,14.92,12.35,30.72,-7.20,98.71,142.58,1.89,2.17,51.23,48.73,48.13,47.87,44.82,65.96,3,SIDEWAYS,NEUTRAL
[object Object],MT,ArcelorMittal SA,EURONEXT,62.14,EUR,1.44,7.06,30.52,24.90,68.63,59.54,133.43,129.89,335.43,-6.88,3.11,3.83,59.47,54.31,52.13,50.40,42.16,72.81,3,SIDEWAYS,OVERBOUGHT
[object Object],P911,Porsche AG,XETR,48.33,EUR,1.58,4.32,20.28,23.80,2.83,5.16,15.95,-42.46,-42.46,-42.46,2.39,2.86,47.05,44.52,42.86,41.58,43.17,66.53,3,SIDEWAYS,NEUTRAL
[object Object],SDZ,Sandoz Group Ltd,SIX,63.60,CHF,1.11,-0.78,-1.85,-1.82,10.76,9.28,50.46,165.00,165.00,165.00,2.39,2.27,64.34,64.71,64.31,63.92,57.99,44.86,3,SIDEWAYS,NEUTRAL
[object Object],OMV,OMV AG,VIE,63.15,EUR,-1.48,1.85,2.68,12.37,31.56,32.95,44.84,24.26,155.05,553.39,1.84,2.00,62.53,61.45,60.94,57.46,52.19,57.57,3,SIDEWAYS,NEUTRAL
[object Object],NN,NN Group N.V.,EURONEXT,71.20,EUR,-0.42,-2.84,-3.52,6.75,13.05,8.21,24.21,71.07,136.78,239.05,1.43,1.62,72.92,74.13,72.57,69.94,65.51,36.31,3,SIDEWAYS,NEUTRAL
[object Object],TELIA,Telia Company AB,OMXSTO,48.95,SEK,-1.31,-1.37,2.17,5.77,27.64,23.89,32.48,34.24,25.61,52.02,1.49,1.80,49.60,48.98,48.38,46.03,41.42,48.19,3,SIDEWAYS,NEUTRAL
[object Object],DSFIR,DSM-Firmenich AG,EURONEXT,67.28,EUR,-1.38,-7.46,5.19,14.81,-0.94,-2.41,-31.42,-40.46,-40.46,-40.46,2.63,2.98,71.03,67.54,65.50,64.12,68.71,46.25,3,SIDEWAYS,NEUTRAL
[object Object],TIT,Telecom Italia S.p.A.,MIL,0.73,EUR,0.71,1.95,11.33,21.44,46.08,42.17,94.08,64.62,-14.46,-96.06,1.43,1.94,0.73,0.70,0.67,0.64,0.56,68.90,3,SIDEWAYS,NEUTRAL
[object Object],BCP,Banco Comercial Portugues S.A.,EURONEXT,0.93,EUR,0.22,-4.14,5.90,12.16,7.82,4.05,36.13,476.44,160.80,-94.26,1.80,2.06,0.96,0.93,0.90,0.89,0.84,48.49,3,SIDEWAYS,NEUTRAL
[object Object],AGS,ageas SA/NV,EURONEXT,63.35,EUR,-0.63,-6.49,-3.43,4.19,12.12,5.58,13.73,27.21,75.17,-78.03,1.20,1.48,66.57,67.10,66.41,63.66,61.14,29.98,3,SIDEWAYS,OVERSOLD
[object Object],ASRNL,ASR Nederland N.V.,EURONEXT,63.00,EUR,0.22,-3.96,-1.87,7.55,9.30,3.41,12.06,81.14,208.07,208.07,1.53,1.64,64.64,65.23,63.66,62.05,60.28,38.32,3,SIDEWAYS,NEUTRAL
[object Object],REC,Recordati S.p.A.,MIL,50.65,EUR,0.10,-0.69,1.71,5.92,3.79,5.00,-4.43,10.35,86.21,5144.49,0.75,1.61,51.10,50.56,49.95,48.53,49.89,50.44,3,SIDEWAYS,NEUTRAL
[object Object],SSAB_B,SSAB AB Class B,OMXSTO,98.54,SEK,1.50,6.41,20.08,31.04,44.91,40.77,64.29,146.17,469.60,236.72,2.52,2.81,94.21,87.65,83.31,79.19,69.95,75.56,3,SIDEWAYS,OVERBOUGHT
[object Object],BNR,Brenntag SE,XETR,56.28,EUR,-0.46,0.36,-10.75,21.77,15.12,13.35,-5.79,-27.42,19.02,230.44,1.93,2.52,56.76,59.49,58.85,55.17,52.63,38.76,3,SIDEWAYS,NEUTRAL
[object Object],ANDR,ANDRITZ AG,VIE,77.80,EUR,-0.89,-0.77,7.16,15.26,20.81,16.12,26.50,63.03,75.23,3012.00,2.08,2.39,78.17,74.70,70.77,70.60,66.66,59.94,3,SIDEWAYS,NEUTRAL
[object Object],BGN,Banca Generali S.p.A.,MIL,55.65,EUR,1.18,1.37,2.39,6.41,0.91,-3.22,9.12,65.13,139.87,532.39,1.74,2.15,55.00,55.75,54.79,54.72,53.17,52.26,3,SIDEWAYS,NEUTRAL
[object Object],VPK,Royal Vopak NV,EURONEXT,45.90,EUR,-0.30,-1.71,7.04,0.31,18.60,20.79,10.87,18.18,-2.55,556.72,1.15,1.71,46.36,44.84,44.79,44.36,41.66,53.36,3,SIDEWAYS,NEUTRAL
