ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200,price_target_average,price_target_high,price_target_low,price_target_median,earnings_per_share_forecast_next_fy,earnings_per_share_forecast_fq,earnings_per_share_forecast_next_fq,revenue_forecast_next_fy,revenue_forecast_fq,revenue_forecast_next_fq
[object Object],NVDA,NVIDIA Corporation,NASDAQ,214.95,stock,common,100.00,1.00,false,0.00,USD,-0.88,72765441.00,0.73,5201790146410.84,USD,32.92,6.53,110.33,0.13,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-0.88,-5.21,4.44,-2.70,15.21,13.23,22.93,924.99,13667.81,491212.04,1.89,2.93,Neutral,Neutral,Buy,Buy,Sell,Sell,51.26,-9.01,9.81,17.22,54.74,68.12,0.00,218.45,0.74,0.56,1592864.00,0.72,72765441.00,-21.30,0.00,0.00,0.00,23.02,32.92,0.30,20.87,26.63,41.73,44.03,65.07,5134032146410.84,20.25,31.64,31.02,220.37,211.34,207.58,206.65,195.29,316.90,743.10,180.00,300.00,9.02,1.75,2.09,394890496045.00,78906699004.00,92060123255.00
[object Object],AAPL,Apple Inc.,NASDAQ,308.96,stock,common,100.00,1.00,false,0.00,USD,-0.75,32705483.00,0.80,4509090550332.97,USD,35.42,8.72,32.61,0.34,Electronic technology,america,Electronic Technology,Buy,Buy,-0.75,0.97,-5.77,0.93,19.31,13.48,36.55,108.32,1035.27,240624.44,2.28,2.19,Sell,Sell,Sell,Sell,Sell,Sell,46.97,-4.37,-6.39,-33.46,61.44,53.74,0.00,312.28,0.31,0.20,280674.00,0.24,32705483.00,-20.15,0.00,0.00,0.00,37.86,35.42,1.09,9.81,41.98,30.99,33.26,72.86,4531035550332.97,9.71,29.26,26.98,307.93,318.27,310.20,297.07,281.50,333.10,400.00,245.00,340.00,8.83,1.89,1.98,477397859987.00,109038899874.00,113205172516.00
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,345.27,stock,common,100.00,1.00,false,0.00,USD,1.35,12554785.00,0.61,4208816233515.57,USD,17.35,19.91,112.02,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,1.35,-0.44,-0.83,-10.86,13.46,8.95,72.86,150.25,764.79,13696.04,1.60,2.68,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,47.47,-9.03,-6.49,-29.75,9.93,14.67,0.00,342.60,0.57,0.31,198338.00,0.56,12554785.00,-32.39,0.00,0.00,0.00,73.83,17.35,0.15,9.40,6.78,22.89,79.78,17.53,4101713679515.57,9.19,27.06,23.13,345.60,347.71,351.78,355.69,333.03,426.68,515.00,340.00,425.00,20.57,2.88,3.02,496300899653.00,116445882659.00,126561135063.00
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,342.31,stock,common,100.00,1.00,false,0.00,USD,1.22,8947796.00,0.63,4203209072359.62,USD,17.20,19.91,112.02,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,1.22,-0.57,-1.40,-10.68,12.31,7.78,70.54,146.27,785.36,1108.57,1.54,2.58,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,46.44,-11.16,-7.66,-37.56,9.11,13.01,0.00,340.13,0.57,0.30,168231.00,0.62,8947796.00,-36.93,0.00,0.00,0.00,73.83,17.20,0.15,9.33,6.73,22.69,79.09,17.38,4096106518359.62,9.18,27.02,23.10,343.36,346.40,350.17,353.50,332.07,426.34,515.00,340.00,425.00,20.57,2.88,3.02,496302033287.00,116425581881.00,126555393415.00
[object Object],MSFT,Microsoft Corporation,NASDAQ,483.02,stock,common,100.00,1.00,false,0.00,USD,0.39,15285355.00,0.62,3586686898515.85,USD,26.92,17.95,31.55,0.74,Technology services,america,Technology Services,StrongBuy,Strong buy,0.39,-2.69,20.88,15.13,21.94,-0.28,-4.10,59.28,738.58,496716.60,1.83,2.57,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,62.34,-16.97,44.13,22.72,28.75,45.01,0.00,479.98,-0.24,-0.19,124060.00,-0.26,15285355.00,-23.65,0.00,0.00,0.00,-4.33,26.92,0.85,10.79,8.11,19.65,53.67,46.79,3638656898515.85,10.97,23.44,18.31,490.50,446.06,419.84,415.40,431.31,563.92,700.00,400.00,550.00,19.72,4.24,4.71,390633843889.00,87619545211.00,90594362812.00
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,259.13,stock,common,100.00,1.00,false,0.00,USD,-0.38,26124071.00,0.79,2795003575262.00,USD,20.84,12.43,89.73,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,-0.38,-2.17,4.38,-3.54,26.56,12.02,16.39,61.36,584.20,212517.13,2.17,2.54,Neutral,Neutral,Buy,Buy,Neutral,Neutral,50.14,-15.34,5.77,-14.74,14.59,29.51,0.00,260.62,0.20,0.50,280009.00,0.24,26124071.00,-7.93,0.00,0.00,0.00,20.13,20.84,0.23,3.66,5.07,17.50,0.00,22.92,2913727575262.00,3.76,29.62,16.79,265.13,256.10,249.74,251.64,238.33,329.63,405.00,230.00,327.00,12.64,1.82,1.96,828558579756.00,197034781840.00,202001447472.00
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,419.64,dr,0.00,100.00,1.00,false,0.00,USD,0.87,6367024.00,0.66,1931258085463.61,USD,30.29,13.86,57.78,0.66,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,0.87,-2.23,1.14,2.49,16.64,34.51,83.93,281.21,1382.83,7942.52,2.36,2.97,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,50.78,-0.40,2.21,45.35,41.95,49.43,0.00,423.00,1.68,0.83,153743.00,1.69,6367024.00,-39.06,0.00,0.00,0.00,96.85,30.29,0.52,15.11,10.78,24.67,54.54,19.71,1855672683740.26,12.99,23.27,18.21,421.86,413.48,424.53,409.72,366.38,545.45,650.00,440.00,536.00,16.69,3.81,4.38,168593353484.00,39834731029.00,45052548398.00
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,135.91,stock,common,100.00,1.00,false,0.00,USD,1.43,64998492.00,0.50,1844511881709.50,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,1.43,-4.89,10.24,-9.39,-9.39,-9.39,-9.39,-9.39,-9.39,-9.39,5.77,7.80,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,51.22,2.80,9.76,42.19,70.41,77.14,0.00,134.27,0.20,0.51,2410490.00,0.24,64998492.00,-45.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.08,0.00,0.00,17.87,1784000881709.50,0.00,0.00,0.00,139.86,127.18,0.00,0.00,0.00,226.26,800.00,75.00,217.00,0.00,-0.23,0.14,0.00,6826708501.00,12791852173.00
[object Object],AVGO,Broadcom Inc.,NASDAQ,367.39,stock,common,100.00,1.00,false,0.00,USD,0.92,12925239.00,0.65,1747911126941.20,USD,61.16,6.01,125.81,0.70,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,0.92,-10.82,-3.37,-12.00,10.54,4.14,26.66,671.30,1999.40,22166.36,2.61,3.60,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,38.13,-60.37,-16.82,-95.63,9.35,11.60,0.00,370.83,1.87,1.22,244362.00,1.83,12925239.00,-34.49,0.00,0.00,0.00,25.92,61.16,0.48,23.52,19.93,53.28,54.68,91.27,1793190126941.20,23.76,53.83,42.63,393.17,392.29,388.48,396.02,369.19,534.42,675.00,400.00,527.50,11.59,2.40,3.21,105736596897.00,22130302985.00,29235508164.00
[object Object],TSLA,"Tesla, Inc.",NASDAQ,363.60,stock,common,100.00,1.00,false,0.00,USD,5.35,47245147.00,1.48,1436055530375.11,USD,337.82,1.08,-37.67,0.00,Consumer durables,america,Consumer Durables,Buy,Buy,5.35,6.21,-3.18,-13.97,-10.95,-20.58,12.89,59.14,2332.98,28605.30,3.59,3.92,Buy,Buy,Buy,Buy,Buy,Buy,58.27,35.02,-5.65,170.31,92.83,86.77,0.00,350.15,1.45,0.90,524827.00,1.38,47245147.00,53.57,0.00,0.00,0.00,32.74,337.82,0.00,11.79,16.53,68.89,223.38,29.24,1408776530375.11,13.60,295.22,125.24,340.95,342.54,365.87,381.56,403.32,374.27,600.00,24.86,403.00,1.68,0.53,0.46,106237542099.00,26423384487.00,27655658641.00
