ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200,price_target_average,price_target_high,price_target_low,price_target_median,earnings_per_share_forecast_next_fy,earnings_per_share_forecast_fq,earnings_per_share_forecast_next_fq,revenue_forecast_next_fy,revenue_forecast_fq,revenue_forecast_next_fq
[object Object],AAPL,Apple Inc.,NASDAQ,331.92,stock,common,100.00,1.00,false,0.00,USD,-1.85,17937894.00,0.35,4875027386521.09,USD,40.15,8.27,29.00,0.31,Electronic technology,america,Electronic Technology,Buy,Buy,-1.85,3.17,18.05,19.03,30.08,21.92,56.64,129.89,1174.29,258509.41,2.28,2.47,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,60.19,-1.34,25.00,63.76,77.88,86.06,0.00,333.10,-1.51,0.06,841574.00,-1.51,17937894.00,-68.02,0.00,0.00,0.00,56.41,40.15,1.41,11.03,45.72,34.86,37.84,71.35,4891231386521.09,10.83,33.19,30.57,331.57,312.94,309.27,288.13,277.65,325.41,400.00,240.00,330.00,8.76,1.95,1.89,478447294817.00,109457588844.00,109038899874.00
[object Object],NVDA,NVIDIA Corporation,NASDAQ,194.89,stock,common,100.00,1.00,false,0.00,USD,2.57,45230249.00,0.36,4716337863650.85,USD,29.85,6.53,110.33,0.15,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,2.57,-6.95,-1.19,-3.17,1.92,2.66,10.41,903.66,13724.44,445360.82,4.02,3.75,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,42.94,-12.51,-3.72,-106.22,13.25,17.97,0.00,193.31,1.74,0.63,2004434.00,1.81,45230249.00,-69.37,0.00,0.00,0.00,16.67,29.85,0.26,18.28,24.15,37.83,39.92,59.00,4648579863650.85,18.34,28.64,28.09,201.95,202.13,206.57,200.26,193.05,314.29,743.10,180.00,300.00,9.00,1.75,2.08,393421082449.00,78906699004.00,91890517600.00
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,332.11,stock,common,100.00,1.00,false,0.00,USD,-1.09,6376669.00,0.28,4068003922727.17,USD,16.68,19.91,112.02,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,-1.09,3.26,-5.37,-12.14,-0.70,4.57,69.18,145.08,772.72,1072.56,2.46,2.77,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,41.97,-21.70,-20.33,-80.24,31.28,26.10,spinning_top_black,333.21,-0.76,-0.33,354918.00,-0.80,6376669.00,-68.50,0.00,0.00,0.00,88.04,16.68,0.15,9.26,6.53,22.02,76.74,16.86,3960901368727.17,8.87,26.13,22.33,335.01,348.19,357.24,344.96,324.94,428.15,550.00,340.00,426.50,20.15,2.88,3.02,495175544711.00,116425581881.00,126305056244.00
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,332.54,stock,common,100.00,1.00,false,0.00,USD,-1.24,10273493.00,0.30,4061779795088.41,USD,16.71,19.91,112.02,0.25,Technology services,america,Technology Services,StrongBuy,Strong buy,-1.24,3.55,-6.03,-12.86,-2.19,4.94,70.01,146.26,733.74,13187.39,2.54,2.76,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,41.59,-21.92,-21.33,-78.86,32.17,26.84,spinning_top_black,334.30,-0.72,-0.64,329290.00,-0.75,10273493.00,-62.64,0.00,0.00,0.00,88.04,16.71,0.15,9.29,6.53,22.05,76.84,16.88,3954677241088.41,8.86,26.09,22.30,335.50,349.67,359.35,347.03,325.71,428.45,550.00,340.00,428.00,20.16,2.88,3.02,495193223674.00,116445882659.00,126315789637.00
[object Object],MSFT,Microsoft Corporation,NASDAQ,445.81,stock,common,100.00,1.00,false,0.00,USD,14.15,56830305.00,1.80,3311633346075.64,USD,24.84,17.95,31.58,0.91,Technology services,america,Technology Services,StrongBuy,Strong buy,14.15,14.32,20.15,8.00,1.51,-7.96,-13.46,56.33,692.40,458438.62,2.78,2.79,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,70.70,44.70,15.04,458.16,66.22,54.36,0.00,438.87,12.38,7.09,3687070.00,12.13,56830305.00,20.39,0.00,0.00,0.00,-22.83,24.84,0.69,8.76,7.48,18.14,49.53,43.18,3291616346075.64,9.92,21.20,16.57,396.63,385.82,398.35,398.85,433.80,556.66,870.00,400.00,550.00,19.59,4.24,4.71,388110982776.00,87619545211.00,90280788798.00
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,236.96,stock,common,100.00,1.00,false,0.00,USD,4.55,28192889.00,0.72,2549004568857.66,USD,28.32,8.37,36.48,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,4.55,0.30,-0.16,-10.78,-1.22,2.43,2.30,41.56,519.50,194330.31,2.40,2.64,Sell,Sell,Sell,Sell,Buy,Buy,45.90,-12.93,-8.75,-78.38,14.86,7.82,0.00,233.48,3.01,1.48,1412587.00,2.96,28192889.00,-37.29,0.00,0.00,0.00,10.78,28.32,0.74,3.32,5.77,17.35,0.00,17.65,2629887568857.66,3.54,29.16,16.37,238.13,240.42,246.41,242.08,234.76,317.02,370.00,230.00,320.00,8.87,1.63,1.82,825159130294.00,177281362106.00,197034779291.00
[object Object],AVGO,Broadcom Inc.,NASDAQ,384.22,stock,common,100.00,1.00,false,0.00,USD,3.75,6597602.00,0.35,1827942629151.06,USD,63.96,6.01,125.81,0.69,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,3.75,-2.03,2.52,-7.44,15.57,8.91,29.30,697.20,2243.79,23185.87,3.67,3.67,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,49.50,9.77,-2.40,1.46,46.22,45.60,0.00,380.18,2.66,-0.08,202387.00,2.71,6597602.00,-69.13,0.00,0.00,0.00,32.38,63.96,0.49,23.93,20.85,55.72,57.18,95.45,1873221629151.06,24.82,56.24,44.53,382.54,382.81,395.67,383.44,365.76,528.60,675.00,215.88,527.50,11.59,2.40,3.21,105647203477.00,22130302985.00,29247810459.00
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,399.90,dr,0.00,100.00,1.00,false,0.00,USD,6.73,7302491.00,0.44,1760828610543.75,USD,28.86,13.86,57.78,0.74,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,6.73,-3.83,-12.23,1.64,19.22,28.18,65.17,246.23,1323.13,7564.20,4.28,3.83,Sell,Sell,Sell,Sell,Neutral,Neutral,44.71,-9.84,-33.06,-81.05,20.38,18.65,0.00,392.49,4.76,1.11,348717.00,4.76,7302491.00,-66.35,0.00,0.00,0.00,80.90,28.86,0.47,13.61,0.00,23.51,51.98,18.78,1682552183440.96,11.78,21.10,16.51,403.14,427.09,425.03,396.88,356.76,537.70,650.00,430.00,532.50,16.57,3.81,4.36,167960257940.00,39834731029.00,44935714473.00
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,115.45,stock,common,100.00,1.00,false,0.00,USD,2.58,22607597.00,0.32,1531689784717.93,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,2.58,0.21,-29.34,-23.03,-23.03,-23.03,-23.03,-23.03,-23.03,-23.03,6.40,7.42,Sell,Sell,StrongSell,Strong sell,Buy,Buy,37.08,-15.66,0.00,-73.56,18.40,15.41,0.00,115.02,2.19,0.40,1357951.00,2.30,22607597.00,-58.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.71,0.00,0.00,63.58,1545599784717.93,0.00,0.00,0.00,117.39,142.47,0.00,0.00,0.00,236.72,800.00,115.00,225.00,0.00,0.00,-0.23,0.00,0.00,6883162430.00
[object Object],META,Meta Platforms Inc Class A,NASDAQ,536.15,stock,common,100.00,1.00,false,0.00,USD,-8.45,18510067.00,1.31,1360975525044.86,USD,20.19,26.55,-3.84,0.36,Technology services,america,Technology Services,StrongBuy,Strong buy,-8.45,-11.88,-4.42,-12.78,-26.30,-19.10,-24.28,51.45,332.17,1175.03,2.72,3.80,StrongSell,Strong sell,StrongSell,Strong sell,Neutral,Neutral,31.67,-128.39,-17.27,-197.68,8.49,11.80,falling_window_bearish,526.00,-10.18,-7.94,1925111.00,-10.18,18510067.00,-17.23,0.00,0.00,0.00,-7.39,20.19,0.00,6.58,0.00,10.56,33.57,15.12,1382331525044.86,6.06,15.47,12.34,607.32,603.33,603.04,612.12,635.27,781.94,1015.00,580.00,785.00,32.29,7.19,6.87,253738677206.00,60223636026.00,63193195178.00
