ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],NVDA,NVIDIA Corporation,NASDAQ,206.67,stock,common,100.00,1.00,false,0.00,USD,-2.74,92482508.00,0.70,5001414000000.00,USD,31.65,6.53,110.33,0.13,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-2.74,1.08,-2.14,3.39,9.31,8.87,20.82,985.99,15604.41,472286.41,3.77,3.25,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,51.50,9.09,2.16,76.45,87.17,85.16,0.00,210.21,-1.08,-0.82,1633782.00,-1.10,92482508.00,-25.89,0.00,0.00,0.00,21.27,31.65,0.29,20.45,25.61,40.12,42.33,62.56,4933656000000.00,19.46,30.40,29.81,203.97,204.31,209.77,198.55,192.29
[object Object],AAPL,Apple Inc.,NASDAQ,331.33,stock,common,100.00,1.00,false,0.00,USD,1.17,47814095.00,0.98,4866361811025.55,USD,40.08,8.27,29.00,0.32,Electronic technology,america,Electronic Technology,Buy,Buy,1.17,6.71,12.22,24.11,28.47,21.70,57.55,123.18,1239.79,258049.72,2.27,2.74,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,70.59,36.95,17.00,149.73,91.65,89.97,0.00,328.00,0.15,0.21,628880.00,0.15,47814095.00,-21.56,0.00,0.00,0.00,42.12,40.08,1.37,10.68,45.64,34.80,37.77,71.22,4882565811025.55,10.82,33.13,30.52,316.79,302.19,301.62,281.54,273.81
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,353.86,stock,common,100.00,1.00,false,0.00,USD,-4.42,18560908.00,1.16,4312549950467.40,USD,26.99,13.11,46.19,0.23,Technology services,america,Technology Services,StrongBuy,Strong buy,-4.42,0.79,-3.70,5.81,5.65,11.42,91.98,168.81,875.18,1149.35,3.36,3.02,Sell,Sell,Sell,Sell,Neutral,Neutral,47.25,-4.03,-1.45,57.50,69.38,64.32,0.00,372.16,0.53,0.48,341617.00,0.53,18560908.00,-8.38,0.00,0.00,0.00,98.83,26.99,0.61,10.71,8.96,24.84,67.21,34.14,4280409128467.40,10.12,30.08,25.85,358.68,357.20,368.74,342.13,320.44
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,354.13,stock,common,100.00,1.00,false,0.00,USD,-4.53,31066969.00,1.34,4307640097423.40,USD,27.01,13.11,46.19,0.23,Technology services,america,Technology Services,StrongBuy,Strong buy,-4.53,-0.05,-4.18,4.88,5.90,11.75,93.27,177.40,855.83,14050.26,3.36,3.12,Sell,Sell,Sell,Sell,Neutral,Neutral,46.04,-7.07,-1.88,42.05,71.68,67.99,0.00,373.01,0.56,0.35,563703.00,0.58,31066969.00,9.84,0.00,0.00,0.00,98.83,27.01,0.61,10.73,8.96,24.86,67.27,34.17,4275499275423.40,10.10,30.05,25.82,360.85,359.28,371.41,344.15,321.14
[object Object],MSFT,Microsoft Corporation,NASDAQ,401.18,stock,common,100.00,1.00,false,0.00,USD,1.40,27541671.00,0.84,2980102275524.75,USD,23.89,16.79,29.75,0.90,Technology services,america,Technology Services,StrongBuy,Strong buy,1.40,7.14,1.36,-5.57,-12.37,-17.18,-20.59,42.23,643.61,412533.84,2.91,3.03,Buy,Buy,Buy,Buy,Neutral,Neutral,56.28,16.90,-5.44,154.61,86.95,85.10,spinning_top_white,398.00,0.60,0.60,492655.00,0.68,27541671.00,-24.03,0.00,0.00,0.00,-21.76,23.89,0.79,9.25,7.19,17.55,40.96,38.16,3027262275524.75,9.51,20.32,15.72,389.16,388.92,401.86,399.15,439.95
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,249.84,stock,common,100.00,1.00,false,0.00,USD,-2.01,33965445.00,0.87,2687502491473.38,USD,29.86,8.37,36.48,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,-2.01,4.18,0.74,-2.02,4.50,7.99,10.61,37.52,569.31,204894.50,2.73,3.18,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,54.13,8.14,3.45,137.93,85.13,85.68,0.00,255.12,0.06,0.21,414192.00,0.06,33965445.00,-24.92,0.00,0.00,0.00,10.06,29.86,0.84,3.73,6.08,18.29,0.00,18.61,2768385491473.38,3.73,30.69,17.23,246.84,242.69,252.66,239.35,233.94
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,408.15,dr,0.00,100.00,1.00,false,0.00,USD,-2.70,21408753.00,1.50,1962663351449.53,USD,33.92,12.03,54.81,0.66,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-2.70,-8.64,-6.39,9.36,17.79,30.83,72.66,243.71,1401.10,7722.31,3.46,3.87,Sell,Sell,Sell,Sell,Neutral,Neutral,41.92,-36.08,-11.86,-181.81,7.16,8.03,0.00,405.50,-3.33,-1.33,1459479.00,-3.38,21408753.00,25.84,0.00,0.00,0.00,106.17,33.92,0.64,16.37,11.49,26.69,58.49,20.00,1892342003467.05,14.24,26.78,20.43,429.62,435.07,425.56,393.23,351.11
[object Object],AVGO,Broadcom Inc.,NASDAQ,374.22,stock,common,100.00,1.00,false,0.00,USD,-5.09,13661743.00,0.59,1780381611324.26,USD,62.30,6.01,125.81,0.64,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-5.09,-6.95,-4.10,-6.66,8.07,6.08,33.60,681.15,2222.76,22580.00,3.08,3.52,Sell,Sell,StrongSell,Strong sell,Sell,Sell,44.90,4.88,-5.95,-38.15,57.62,61.98,0.00,384.53,-2.47,-0.75,217310.00,-2.47,13661743.00,-16.31,0.00,0.00,0.00,32.49,62.30,0.52,25.48,20.30,54.27,55.70,92.96,1825660611324.26,24.19,54.81,43.40,383.66,388.06,404.07,377.61,363.41
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,132.41,stock,common,100.00,1.00,false,0.00,USD,-2.11,48865729.00,0.63,1756766598095.05,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,-2.11,-11.98,-33.96,-11.72,-11.72,-11.72,-11.72,-11.72,-11.72,-11.72,5.26,20.65,Sell,Sell,StrongSell,Strong sell,Buy,Buy,39.20,-25.13,0.00,-141.03,4.43,4.23,0.00,134.98,-0.21,0.00,947319.00,-0.19,48865729.00,-15.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.14,0.00,0.00,72.93,1770676598095.05,0.00,0.00,0.00,146.06,0.00,0.00,0.00,0.00
[object Object],META,Meta Platforms Inc Class A,NASDAQ,662.77,stock,common,100.00,1.00,false,0.00,USD,-2.72,11641172.00,0.49,1682390689293.71,USD,24.09,27.51,7.29,0.31,Technology services,america,Technology Services,StrongBuy,Strong buy,-2.72,13.49,11.64,-2.33,6.18,0.01,-7.09,92.16,464.92,1476.15,3.38,3.64,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,61.35,49.86,65.46,121.52,89.50,89.31,0.00,677.84,-0.51,-0.41,252662.00,-0.59,11641172.00,-38.74,0.00,0.00,0.00,-18.15,24.09,3.40,8.13,6.90,13.70,35.22,20.85,1687639689293.71,7.85,19.05,15.44,636.44,597.95,603.68,616.54,640.98
