ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200,price_target_average,price_target_high,price_target_low,price_target_median,earnings_per_share_forecast_next_fy,earnings_per_share_forecast_fq,earnings_per_share_forecast_next_fq,revenue_forecast_next_fy,revenue_forecast_fq,revenue_forecast_next_fq
[object Object],NVDA,NVIDIA Corporation,NASDAQ,222.95,stock,common,100.00,1.00,false,0.00,USD,1.81,78079874.00,0.58,5395433695339.96,USD,34.14,6.53,110.33,0.13,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,1.81,12.35,14.23,4.66,26.18,17.45,22.79,990.44,15015.38,509501.78,3.11,3.75,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,63.84,16.11,11.76,174.95,90.56,87.49,0.00,221.60,1.19,0.36,1347575.00,1.16,78079874.00,-31.47,0.00,0.00,0.00,11.33,34.14,0.30,21.07,27.63,43.28,45.67,67.49,5327675695339.96,21.02,32.83,32.19,205.91,204.19,206.05,202.07,193.97,314.29,743.10,180.00,300.00,9.00,1.75,2.08,393652880225.00,78906699004.00,91913606236.00
[object Object],AAPL,Apple Inc.,NASDAQ,313.24,stock,common,100.00,1.00,false,0.00,USD,0.27,22495259.00,0.35,4571480898899.62,USD,35.91,8.72,32.61,0.34,Electronic technology,america,Electronic Technology,Buy,Buy,0.27,2.77,0.43,8.01,13.03,15.05,43.11,114.25,1065.33,243955.22,2.33,2.46,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,47.52,-19.78,-3.24,-68.52,27.41,23.24,0.00,311.45,-0.31,0.04,330656.00,-0.31,22495259.00,-51.24,0.00,0.00,0.00,59.31,35.91,1.10,9.85,42.56,31.41,33.72,73.87,4593425898899.62,9.84,29.66,27.35,320.70,316.49,309.78,291.33,279.41,326.82,400.00,240.00,335.00,8.80,1.89,1.99,477252895159.00,109038899874.00,113441189152.00
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,353.68,stock,common,100.00,1.00,false,0.00,USD,-0.82,9523448.00,0.42,4333018319439.28,USD,17.77,19.91,112.02,0.24,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.82,4.01,-2.34,-10.28,8.06,11.38,78.91,158.29,814.27,1148.71,3.45,3.17,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,51.09,34.63,15.22,33.40,62.66,74.69,0.00,355.00,-0.45,0.25,199492.00,-0.38,9523448.00,-42.33,0.00,0.00,0.00,71.84,17.77,0.16,9.84,6.95,23.45,81.72,17.95,4225915765439.28,9.47,27.88,23.83,350.35,350.35,354.72,348.42,328.30,428.55,550.00,340.00,426.50,20.23,2.88,3.02,495344518829.00,116425581881.00,126383702078.00
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,354.42,stock,common,100.00,1.00,false,0.00,USD,-0.93,14346370.00,0.42,4328369197571.12,USD,17.81,19.91,112.02,0.24,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.93,3.99,-2.83,-10.73,8.33,11.84,79.85,160.71,779.45,14061.65,3.69,3.24,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,50.80,34.68,15.35,32.83,62.23,74.56,0.00,356.57,-0.33,0.36,260432.00,-0.29,14346370.00,-43.15,0.00,0.00,0.00,71.84,17.81,0.16,9.87,6.96,23.50,81.89,17.99,4221266643571.12,9.46,27.85,23.80,351.25,351.88,356.51,350.52,329.11,428.85,550.00,340.00,428.00,20.24,2.88,3.02,495359381557.00,116445882659.00,126392830454.00
[object Object],MSFT,Microsoft Corporation,NASDAQ,501.40,stock,common,100.00,1.00,false,0.00,USD,0.31,17720134.00,0.36,3723168359544.53,USD,27.94,17.95,31.55,0.71,Technology services,america,Technology Services,StrongBuy,Strong buy,0.31,11.42,30.56,20.13,25.61,3.51,-4.82,73.05,763.66,515621.59,2.86,3.17,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,78.36,119.70,88.09,128.06,95.29,94.50,0.00,499.13,-0.15,-0.17,253203.00,-0.13,17720134.00,-51.37,0.00,0.00,0.00,-23.31,27.94,0.88,11.21,8.42,20.40,55.71,48.57,3775138359544.53,11.38,24.32,19.00,455.80,409.86,407.04,404.07,433.08,561.28,870.00,400.00,550.00,19.67,4.24,4.72,390047934108.00,87619545211.00,90574589016.00
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,274.38,stock,common,100.00,1.00,false,0.00,USD,0.78,23140967.00,0.37,2959549065803.84,USD,22.07,12.43,89.73,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,0.78,3.54,12.33,1.01,35.36,18.60,24.15,64.12,615.64,225034.15,2.67,2.84,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,64.17,42.27,30.35,107.56,76.89,80.14,0.00,272.76,0.18,0.06,396533.00,0.22,23140967.00,-24.56,0.00,0.00,0.00,0.80,22.07,0.24,3.83,5.36,18.53,0.00,24.27,3078273065803.84,3.97,31.29,17.73,257.67,248.45,247.51,245.89,236.54,327.03,400.00,230.00,325.00,12.17,1.82,1.96,827485191019.00,197034781840.00,201836695635.00
[object Object],AVGO,Broadcom Inc.,NASDAQ,425.47,stock,common,100.00,1.00,false,0.00,USD,1.17,7970311.00,0.40,2024207607590.67,USD,70.83,6.01,125.81,0.60,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,1.17,7.76,12.70,1.35,32.92,20.61,38.97,774.57,2402.76,25686.06,3.79,3.93,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,64.12,43.55,25.72,195.66,88.63,88.61,0.00,428.03,1.77,0.45,142921.00,1.86,7970311.00,-42.69,0.00,0.00,0.00,29.54,70.83,0.56,27.17,23.09,61.70,63.32,105.70,2069486607590.67,27.42,62.13,49.20,398.63,387.14,394.99,387.99,367.58,529.43,675.00,215.88,527.50,11.59,2.40,3.21,105647201255.00,22130302985.00,29247819031.00
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,418.97,dr,0.00,100.00,1.00,false,0.00,USD,0.18,7379954.00,0.50,1899391741954.39,USD,30.24,13.86,57.78,0.66,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,0.18,-0.13,-2.34,0.48,24.14,34.29,71.38,253.80,1356.78,7929.68,2.85,3.67,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,51.79,15.56,-9.51,61.62,82.75,79.49,0.00,424.80,1.58,0.62,245955.00,1.58,7379954.00,-30.56,0.00,0.00,0.00,84.07,30.24,0.52,15.19,0.00,24.63,54.45,19.68,1821115314851.60,12.75,22.83,17.87,404.81,420.69,425.86,401.05,360.19,537.70,650.00,430.00,532.50,16.61,3.81,4.36,168145782199.00,39834731029.00,44979785901.00
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,131.39,stock,common,100.00,1.00,false,0.00,USD,14.33,209640096.00,2.00,1742926879549.27,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,14.33,16.18,-13.87,-12.41,-12.41,-12.41,-12.41,-12.41,-12.41,-12.41,10.91,7.70,Buy,Buy,Buy,Buy,Buy,Buy,51.97,16.32,-20.26,42.84,50.63,41.31,marubozu_white_bullish,114.93,0.01,0.10,6509973.00,0.04,209640096.00,-17.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.61,0.00,0.00,17.27,1682415879549.27,0.00,0.00,0.00,115.75,132.62,0.00,0.00,0.00,227.09,800.00,75.00,217.00,0.00,-0.23,0.13,0.00,6826708501.00,12575296801.00
[object Object],META,Meta Platforms Inc Class A,NASDAQ,591.99,stock,common,100.00,1.00,false,0.00,USD,0.35,7971625.00,0.41,1508098218663.35,USD,22.30,26.55,-3.86,0.36,Technology services,america,Technology Services,StrongBuy,Strong buy,0.35,8.90,-3.65,-3.77,-11.04,-10.67,-23.47,62.74,372.65,1307.82,3.35,3.72,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,47.64,-3.20,-14.31,-40.61,50.03,46.56,0.00,585.48,-0.75,-0.35,184799.00,-0.72,7971625.00,-32.51,0.00,0.00,0.00,-14.41,22.30,0.00,6.63,5.77,11.66,37.07,16.70,1529454218663.35,6.70,17.59,13.95,581.75,607.90,599.76,608.85,631.29,749.20,1000.00,580.00,750.00,31.78,7.19,6.76,254065308644.00,60223636026.00,63247888848.00
