ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],RMS,Hermes International SCA,EURONEXT,1712.00,stock,common,10.00,5.00,false,0.00,EUR,0.88,108407.00,1.11,205385771007.53,USD,39.75,50.59,-1.82,1.06,Consumer non-durables,france,Consumer Non-Durables,Buy,Buy,0.88,7.61,8.49,-8.45,-20.45,-19.05,-25.08,40.91,427.82,21407.75,3.83,3.50,Buy,Buy,Buy,Buy,Buy,Buy,61.06,102.50,56.21,275.96,70.05,70.83,0.00,0.00,0.00,0.00,0.00,4.07,108407.00,-14.43,1712.00,0.00,36891.00,-33.03,39.75,0.00,11.14,9.53,33.01,40.74,14.69,193950664547.53,10.32,24.72,22.08,1636.55,1623.03,1646.01,1797.22,1961.33
[object Object],ITX,"Industria de Diseno Textil, S.A.",BME,56.64,stock,common,100.00,2.00,false,0.00,EUR,1.25,1860621.00,0.94,201371095856.40,USD,28.06,2.37,7.00,2.48,Retail trade,spain,Retail Trade,Buy,Buy,1.25,2.87,15.59,9.98,3.43,0.25,24.07,77.11,97.83,1429.16,2.39,2.37,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,68.45,3.96,3.69,131.68,84.17,83.25,0.00,0.00,0.00,0.00,0.00,1.72,1860621.00,-15.36,0.00,0.00,0.00,9.58,28.06,3.96,4.32,9.30,0.00,0.00,0.00,195870401376.40,4.14,20.38,14.49,54.84,52.30,52.39,53.22,51.55
[object Object],NOVO_B,Novo Nordisk A/S Class B,OMXCOP,285.60,stock,common,100.00,5.00,false,0.00,DKK,-0.57,5199454.00,0.76,196969964583.60,USD,10.42,4.23,16.96,4.07,Health technology,denmark,Health Technology,Buy,Buy,-0.57,2.33,-4.80,14.33,-6.89,-13.19,-45.60,10.27,60.90,32792.05,3.39,3.54,Buy,Buy,Buy,Buy,Neutral,Neutral,53.63,-7.35,-2.47,12.20,61.25,53.42,0.00,0.00,0.00,0.00,0.00,-0.97,5199454.00,29.04,0.00,0.00,0.00,-38.11,10.42,0.62,3.90,6.25,13.01,32.05,58.75,216219815383.60,4.28,9.42,8.22,279.82,284.88,269.42,282.48,311.52
[object Object],TTE,TotalEnergies SE,EURONEXT,73.00,stock,common,100.00,1.00,false,0.00,EUR,-4.43,7437948.00,2.06,196700362037.08,USD,12.29,6.86,5.98,4.45,Energy minerals,france,Energy Minerals,Buy,Buy,-4.43,-6.41,-7.12,1.05,33.43,31.18,29.80,78.05,78.51,2891.80,2.08,1.88,Sell,Sell,Sell,Sell,Sell,Sell,34.98,-3.38,-1.43,-222.71,47.02,52.33,"falling_window_bearish,long_lower_shadow_bullish",0.00,0.00,0.00,0.00,-4.23,7437948.00,46.45,73.00,0.00,2424299.00,52.18,12.29,2.15,1.04,1.46,6.40,16.28,6.09,233678398871.19,1.27,9.51,6.14,76.74,77.38,77.37,72.67,63.44
[object Object],SAP,SAP SE,XETR,143.18,stock,common,100.00,2.00,false,0.00,EUR,2.08,2314119.00,0.68,189403638039.24,USD,22.42,7.38,31.40,1.78,Technology services,germany,Technology Services,Buy,Buy,2.08,-10.55,0.83,-13.56,-30.66,-31.13,-44.12,18.86,114.86,8385.94,4.25,4.18,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,42.57,-24.72,-3.73,-122.09,7.16,9.40,"gravestone_doji_bearish,long_upper_shadow_bearish",144.28,2.87,3.02,2480.00,1.95,2314119.00,-18.85,142.06,-0.78,832799.00,-39.77,22.42,0.70,4.39,3.73,19.02,20.94,17.33,187922059059.24,4.36,15.22,13.61,153.06,150.90,149.33,158.66,188.72
[object Object],SAN,"Banco Santander, S.A.",BME,11.45,stock,common,1000.00,2.00,false,0.00,EUR,3.86,39328929.00,1.63,187126790020.29,USD,10.62,1.25,33.19,1.76,Finance,spain,Finance,Buy,Buy,3.86,8.53,13.93,20.89,16.00,13.95,67.16,232.62,229.17,584.30,2.55,2.20,StrongBuy,Strong buy,StrongBuy,Strong buy,Neutral,Neutral,68.49,0.80,0.27,311.30,72.81,46.42,rising_window_bullish,0.00,0.00,0.00,0.00,2.49,39328929.00,-6.82,0.00,0.00,0.00,45.69,10.62,0.31,2.22,1.59,0.00,0.00,0.00,537576312920.29,4.42,0.00,0.00,10.72,10.56,10.49,10.35,9.75
[object Object],ABBN,ABB Ltd.,SIX,82.58,stock,common,100.00,2.00,false,0.00,CHF,1.18,2268916.00,1.06,183956089131.80,USD,37.94,2.72,9.64,1.15,Producer manufacturing,switzerland,Producer Manufacturing,Neutral,Neutral,1.18,1.33,1.08,25.27,40.68,38.56,76.49,164.76,322.84,218.32,2.54,2.37,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,54.20,-0.84,-0.02,7.93,36.60,24.90,0.00,0.00,0.00,0.00,0.00,2.33,2268916.00,-3.06,82.58,0.00,1448310.00,73.34,37.94,3.89,5.19,12.63,31.77,38.21,31.58,187658496701.87,5.24,30.74,26.94,82.77,82.25,78.33,72.52,65.06
[object Object],RIO,Rio Tinto plc,LSE,7924.00,stock,common,1.00,1.00,false,0.00,GBX,1.41,1967613.00,0.68,179703149249.70,USD,17.18,6.21,-16.70,3.84,Non-energy minerals,uk,Non-Energy Minerals,Neutral,Neutral,1.41,5.15,-1.18,17.72,39.26,32.18,86.40,29.60,314.54,823.20,2.14,4.09,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,56.08,-127.00,-56.51,48.87,40.11,33.98,rising_window_bullish,0.00,0.00,0.00,0.00,2.12,1967613.00,-18.70,7924.00,0.00,957321.00,78.15,17.18,0.00,2.93,2.78,10.14,36.13,18.49,198532646443.15,3.37,13.40,8.90,7771.70,7794.43,7599.18,7238.37,6288.04
[object Object],SU,Schneider Electric SE,EURONEXT,270.15,stock,common,100.00,5.00,false,0.00,EUR,1.83,889196.00,0.83,172820903740.61,USD,37.02,8.57,-2.73,1.58,Producer manufacturing,france,Producer Manufacturing,StrongBuy,Strong buy,1.83,2.84,1.87,8.84,12.56,15.40,24.75,102.82,397.79,1178.78,2.83,2.98,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,50.90,-6.05,-4.31,13.98,29.96,18.85,0.00,0.00,0.00,0.00,0.00,2.68,889196.00,-10.22,270.15,0.00,496916.00,23.00,37.02,0.00,3.80,6.28,25.31,30.67,33.49,190075920760.61,4.03,23.08,18.68,271.29,270.24,268.13,259.11,247.60
[object Object],ALV,Allianz SE,XETR,394.70,stock,common,10.00,1.00,false,0.00,EUR,2.15,736693.00,1.41,169239324591.97,USD,14.26,32.50,0.00,4.43,Finance,germany,Finance,Buy,Buy,2.15,6.05,4.42,10.22,2.33,1.18,16.50,81.06,208.72,238.09,1.70,1.55,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,63.50,19.80,2.69,140.89,75.69,62.91,rising_window_bullish,390.90,1.16,0.60,3016.00,1.19,736693.00,48.74,393.90,-0.20,299207.00,8.71,14.26,0.00,1.05,2.58,4.53,4.77,0.00,206567944091.97,1.25,0.00,0.00,378.73,380.51,381.85,373.85,369.64
