ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],INTC,Intel Corporation,NASDAQ,124.57,USD,6.51,16.99,0.38,170.98,217.42,229.81,507.66,116.76,289.16,308776.77,9.02,7.35,110.77,113.70,95.69,70.96,53.50,62.43,3,SIDEWAYS,NEUTRAL
[object Object],MDLZ,"Mondelez International, Inc. Class A",NASDAQ,62.99,USD,-0.58,3.02,2.81,14.88,16.72,16.78,-5.99,-1.39,42.77,205.63,2.00,2.00,62.15,61.72,60.23,59.40,58.92,58.85,3,SIDEWAYS,NEUTRAL
[object Object],BKR,Baker Hughes Company Class A,NASDAQ,63.14,USD,-0.54,-3.53,-3.18,12.99,32.62,38.10,63.09,145.39,99.96,384.30,2.79,2.91,63.85,65.04,64.35,62.07,54.85,46.17,3,SIDEWAYS,NEUTRAL
[object Object],NVDA,NVIDIA Corporation,NASDAQ,205.19,USD,0.16,-4.35,-8.78,10.96,13.30,8.09,44.53,1073.89,17482.69,468903.57,3.34,3.56,211.30,214.07,206.91,194.84,189.26,45.24,2,SIDEWAYS,NEUTRAL
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,358.16,USD,0.45,-1.44,-6.22,16.80,13.78,12.77,101.80,183.70,890.94,1164.53,3.40,2.62,361.32,378.86,359.48,335.17,307.51,43.44,2,SIDEWAYS,NEUTRAL
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,359.68,USD,0.53,-1.82,-6.72,17.16,14.66,13.50,104.15,194.82,886.36,14271.82,3.27,2.60,363.93,382.08,362.26,336.66,307.94,42.37,2,SIDEWAYS,NEUTRAL
[object Object],AAPL,Apple Inc.,NASDAQ,291.13,USD,-1.52,-6.95,-0.81,13.95,4.76,6.93,46.24,130.09,1096.59,226728.62,3.52,2.24,302.08,299.05,285.49,272.84,266.87,44.05,2,SIDEWAYS,NEUTRAL
[object Object],MSFT,Microsoft Corporation,NASDAQ,390.74,USD,0.10,-8.78,-3.09,-2.56,-18.57,-19.33,-17.74,51.46,683.05,401800.78,2.66,2.78,416.75,417.31,411.80,408.41,453.73,37.09,2,SIDEWAYS,NEUTRAL
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,238.55,USD,-1.23,-6.18,-9.79,13.81,3.78,3.12,12.64,42.43,569.77,195634.94,3.32,2.65,247.51,261.66,254.77,235.10,232.51,34.76,2,SIDEWAYS,NEUTRAL
[object Object],AVGO,Broadcom Inc.,NASDAQ,382.07,USD,-0.91,-6.26,-8.11,13.15,0.56,8.30,52.71,715.62,2298.88,23055.76,4.85,4.23,415.39,420.40,406.45,365.78,358.10,41.40,2,SIDEWAYS,NEUTRAL
[object Object],MU,"Micron Technology, Inc.",NASDAQ,981.61,USD,-1.43,3.94,20.72,137.25,283.94,232.61,760.27,1125.94,8032.64,69394.51,9.20,7.35,979.37,827.43,677.65,540.81,381.71,60.77,2,SIDEWAYS,NEUTRAL
[object Object],AMD,"Advanced Micro Devices, Inc.",NASDAQ,511.57,USD,4.73,2.41,11.93,158.23,134.27,133.70,324.13,526.85,11526.59,111513.65,7.66,6.02,498.20,459.47,386.78,299.53,253.93,60.45,2,SIDEWAYS,NEUTRAL
