name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
CDNS,"Cadence Design Systems, Inc.",NASDAQ,354.55,USD,-0.97,0.30,33.26,18.69,13.69,12.31,13.49,187.02,1409.37,19169.02,2.46,3.46,352.50,319.88,307.37,306.41,323.00,64.93,6,STRONG_UP,NEUTRAL
MAR,"Marriott International, Inc. Class A",NASDAQ,350.19,USD,-0.01,-3.76,-0.38,-3.26,22.84,12.76,28.75,149.39,417.19,2015.26,2.19,2.39,353.65,356.21,343.48,335.64,304.80,47.37,6,STRONG_UP,NEUTRAL
FTNT,"Fortinet, Inc.",NASDAQ,117.69,USD,3.35,32.57,52.94,34.43,46.86,47.17,15.97,194.67,1726.92,6822.94,5.10,3.65,100.87,88.67,86.14,83.13,83.11,83.26,6,STRONG_UP,OVERBOUGHT
CSX,CSX Corporation,NASDAQ,44.40,USD,-0.29,-1.38,5.46,6.86,27.26,21.99,46.39,31.17,422.97,11249.84,1.74,1.92,44.88,43.72,42.19,40.31,37.65,54.26,6,STRONG_UP,NEUTRAL
MDLZ,"Mondelez International, Inc. Class A",NASDAQ,61.52,USD,-0.29,0.11,4.77,-0.77,7.48,14.05,-5.90,-1.87,37.69,198.50,1.66,2.01,61.49,59.02,58.25,57.94,59.04,63.72,6,STRONG_UP,NEUTRAL
NXPI,NXP Semiconductors NV,NASDAQ,298.41,USD,1.42,2.35,48.26,18.34,50.08,35.27,44.72,58.06,256.99,2195.46,3.91,3.77,295.91,244.20,225.35,228.48,223.22,68.94,6,STRONG_UP,NEUTRAL
BKR,Baker Hughes Company Class A,NASDAQ,65.41,USD,0.26,-2.02,4.34,6.90,37.21,43.07,72.40,166.54,106.32,401.71,2.69,2.95,66.49,64.06,62.36,58.55,52.65,52.87,6,STRONG_UP,NEUTRAL
MCHP,Microchip Technology Incorporated,NASDAQ,96.71,USD,-1.01,-1.80,35.33,18.21,78.60,48.19,58.67,34.13,308.49,27015.16,4.95,4.22,97.77,84.01,76.18,74.92,69.03,66.76,6,STRONG_UP,NEUTRAL
AAPL,Apple Inc.,NASDAQ,298.87,USD,1.38,6.01,15.07,8.45,10.26,9.78,42.03,136.73,1228.31,232759.10,1.72,2.16,286.71,271.81,264.68,264.85,258.24,75.62,5,UP,OVERBOUGHT
TSLA,"Tesla, Inc.",NASDAQ,445.27,USD,2.73,15.28,27.20,3.48,15.27,-2.74,39.15,128.97,3114.48,35052.94,5.23,4.37,411.69,384.60,385.70,409.30,406.27,70.19,5,UP,OVERBOUGHT
QCOM,QUALCOMM Incorporated,NASDAQ,213.17,USD,1.36,9.22,66.54,51.33,24.10,22.65,40.24,65.72,314.24,40671.71,11.11,6.71,198.67,156.33,146.48,151.59,158.56,69.38,5,UP,NEUTRAL
HON,Honeywell International Inc.,NASDAQ,217.96,USD,-0.27,2.40,-6.63,-10.83,9.83,11.38,5.27,2.48,112.93,2677.60,1.97,2.34,214.71,221.90,225.54,223.67,211.29,47.76,5,UP,NEUTRAL
VRTX,Vertex Pharmaceuticals Incorporated,NASDAQ,453.06,USD,1.06,7.19,4.35,-1.94,2.96,-0.28,3.55,110.63,453.93,9968.00,2.75,2.30,432.45,435.49,445.67,456.24,434.91,61.16,5,UP,NEUTRAL
SNPS,"Synopsys, Inc.",NASDAQ,509.28,USD,-0.77,0.93,29.75,16.19,31.24,6.33,0.53,116.83,955.07,7047.79,2.43,3.12,503.64,460.81,444.44,456.55,475.82,66.66,5,UP,NEUTRAL
MNST,Monster Beverage Corporation,NASDAQ,85.93,USD,0.07,11.84,14.04,6.05,20.43,12.08,40.34,91.38,244.87,131888.82,3.26,2.35,80.29,77.14,76.26,78.17,72.79,71.30,5,UP,OVERBOUGHT
ABNB,"Airbnb, Inc. Class A",NASDAQ,132.97,USD,-1.85,-6.10,4.54,11.23,9.97,-2.18,-1.23,-6.52,-8.92,-8.92,4.38,3.27,138.79,136.53,134.06,132.55,128.28,41.25,5,UP,NEUTRAL
DDOG,"Datadog, Inc. Class A",NASDAQ,205.31,USD,2.69,42.85,94.92,56.67,13.32,49.59,80.91,162.75,408.82,408.82,6.72,5.43,170.53,138.22,132.67,129.29,139.39,84.79,5,UP,OVERBOUGHT
XEL,Xcel Energy Inc.,NASDAQ,79.91,USD,0.01,-1.50,-2.90,2.17,-0.34,8.25,17.90,12.15,91.13,992.79,1.83,2.11,80.89,80.39,80.28,78.61,77.74,48.34,5,UP,NEUTRAL
FER,Ferrovial N.V.,NASDAQ,67.90,USD,-1.47,-4.22,-3.67,-8.55,6.53,4.75,39.83,105.14,105.14,105.14,1.67,1.62,69.43,69.48,67.49,68.20,63.99,45.50,5,UP,NEUTRAL
KDP,Keurig Dr Pepper Inc.,NASDAQ,29.31,USD,0.48,1.75,10.48,-1.33,8.12,5.36,-12.59,-18.71,90.79,527.76,2.41,2.77,28.94,27.47,27.36,27.87,28.30,63.67,5,UP,NEUTRAL
PANW,"Palo Alto Networks, Inc.",NASDAQ,227.79,USD,5.65,26.24,46.42,36.98,12.77,23.26,18.19,316.51,939.74,2378.23,5.46,4.00,197.41,179.07,172.41,173.04,185.12,82.74,4,UP,OVERBOUGHT
AMGN,Amgen Inc.,NASDAQ,336.45,USD,0.05,2.22,-4.44,-8.24,-0.09,2.34,22.87,33.04,122.49,97777.22,1.92,2.14,332.37,342.32,349.63,349.83,326.01,46.23,4,UP,NEUTRAL
GILD,"Gilead Sciences, Inc.",NASDAQ,133.05,USD,-1.40,-0.25,-3.58,-13.28,6.60,8.62,29.74,93.08,60.96,24581.72,2.88,2.47,133.19,135.36,137.99,137.19,127.69,46.24,4,UP,NEUTRAL
CRWD,"CrowdStrike Holdings, Inc. Class A",NASDAQ,562.57,USD,3.00,20.10,48.01,34.30,7.68,18.69,31.38,200.02,785.94,785.94,4.97,3.98,499.97,449.11,435.73,436.28,459.24,79.02,4,UP,OVERBOUGHT
REGN,"Regeneron Pharmaceuticals, Inc.",NASDAQ,719.88,USD,-0.49,2.35,-3.73,-8.27,3.25,-7.02,25.97,38.44,97.47,3307.72,2.53,2.64,712.11,738.39,745.18,758.29,689.91,46.13,4,UP,NEUTRAL
AEP,"American Electric Power Company, Inc.",NASDAQ,127.95,USD,-3.02,-6.31,-6.26,3.02,5.24,10.84,26.70,47.20,95.13,250.55,1.59,1.78,133.08,133.76,132.62,126.83,120.94,37.97,4,UP,NEUTRAL
WBD,"Warner Bros. Discovery, Inc. Series A",NASDAQ,27.25,USD,0.18,0.35,-0.55,-3.13,19.78,-5.35,193.64,-23.48,-2.82,302.36,0.72,0.91,27.13,27.24,27.34,27.83,23.30,51.02,4,UP,NEUTRAL
ROST,"Ross Stores, Inc.",NASDAQ,211.76,USD,-2.72,-7.16,-4.43,8.85,31.45,17.26,42.19,67.19,284.39,38076.42,3.88,2.25,223.32,223.66,218.93,204.93,180.80,36.90,4,UP,NEUTRAL
MSTR,Strategy Inc Class A,NASDAQ,178.03,USD,-3.46,-3.54,40.57,39.55,-11.24,15.16,-56.85,255.16,865.98,2091.14,5.91,6.08,182.60,159.51,150.58,149.31,220.13,56.24,4,UP,NEUTRAL
TTWO,"Take-Two Interactive Software, Inc.",NASDAQ,226.99,USD,0.44,2.71,14.94,11.60,-3.80,-11.92,0.50,37.74,525.14,6090.61,2.56,2.86,221.85,212.36,208.89,219.07,231.40,65.57,4,UP,NEUTRAL
KHC,Kraft Heinz Company,NASDAQ,23.18,USD,-0.81,0.04,0.91,-5.27,-7.41,-4.57,-17.66,-47.32,-72.83,-67.35,3.28,2.50,23.06,22.67,22.65,23.33,24.62,55.11,4,UP,NEUTRAL
ZS,"Zscaler, Inc.",NASDAQ,152.43,USD,4.28,9.91,28.04,-11.37,-49.82,-32.77,-36.49,-6.21,454.29,454.29,4.82,4.68,144.53,137.20,142.64,170.00,228.12,59.59,4,UP,NEUTRAL
MSFT,Microsoft Corporation,NASDAQ,405.21,USD,-0.63,-0.68,8.46,0.05,-18.67,-16.35,-9.51,65.00,687.73,416684.09,1.72,2.40,412.27,405.16,398.76,420.55,464.10,47.34,3,SIDEWAYS,NEUTRAL
APP,AppLovin Corp. Class A,NASDAQ,453.53,USD,-7.57,-5.32,14.63,12.26,-15.12,-33.63,30.13,767.00,547.90,547.90,9.00,5.87,471.84,447.98,448.16,493.09,530.29,48.67,3,SIDEWAYS,NEUTRAL
ADP,"Automatic Data Processing, Inc.",NASDAQ,208.63,USD,-2.42,0.11,10.82,-3.67,-18.06,-18.83,-32.72,7.35,141.41,25671.20,2.87,2.49,211.65,203.90,206.60,224.33,253.06,51.30,3,SIDEWAYS,NEUTRAL
ODFL,"Old Dominion Freight Line, Inc.",NASDAQ,189.18,USD,-1.02,-3.76,-9.05,-4.83,39.80,19.92,7.51,42.55,793.20,33051.12,3.17,3.85,197.89,207.33,200.35,190.24,167.07,37.04,3,SIDEWAYS,NEUTRAL
META,Meta Platforms Inc Class A,NASDAQ,616.63,USD,2.26,2.59,-2.04,-7.96,2.47,-6.96,-4.48,99.21,413.94,1366.42,2.11,2.40,609.38,632.27,623.78,640.26,674.24,46.39,2,SIDEWAYS,NEUTRAL
TMUS,"T-Mobile US, Inc.",NASDAQ,190.28,USD,-1.56,-1.24,-2.88,-10.62,-12.50,-5.92,-20.47,36.83,369.13,279.04,2.43,2.93,193.57,194.43,202.08,201.63,214.87,42.87,2,SIDEWAYS,NEUTRAL
PEP,"PepsiCo, Inc.",NASDAQ,149.27,USD,-1.70,-4.19,-4.92,-12.07,2.32,4.22,13.80,1.41,41.15,19864.88,2.62,2.21,154.29,155.30,155.68,154.72,150.34,38.38,2,SIDEWAYS,NEUTRAL
PDD,PDD Holdings Inc. Sponsored ADR Class A,NASDAQ,99.60,USD,4.04,2.45,-0.42,-4.34,-24.32,-14.30,-14.74,-14.73,275.85,275.85,3.16,2.81,99.09,100.14,100.47,104.25,114.35,49.79,2,SIDEWAYS,NEUTRAL
ORLY,"O'Reilly Automotive, Inc.",NASDAQ,89.70,USD,-2.33,-5.12,-3.68,-4.85,-9.94,-1.15,0.13,141.57,410.55,55099.97,2.52,2.49,94.03,93.25,92.53,93.44,97.18,40.21,2,SIDEWAYS,NEUTRAL
PCAR,PACCAR Inc,NASDAQ,111.78,USD,-1.11,-3.21,-12.12,-14.26,15.77,1.81,16.95,76.79,195.61,22705.36,1.92,2.66,114.53,120.73,119.06,120.00,110.06,34.37,2,SIDEWAYS,NEUTRAL
FAST,Fastenal Company,NASDAQ,43.77,USD,1.04,-2.30,-10.20,-7.56,7.44,8.72,8.49,63.26,283.61,138520.13,2.29,2.17,44.27,45.29,45.41,44.70,44.79,43.01,2,SIDEWAYS,NEUTRAL
EA,Electronic Arts Inc.,NASDAQ,200.18,USD,-0.00,-0.65,-1.26,-1.15,-0.55,-2.06,35.05,42.77,167.87,38722.79,0.40,0.43,201.05,202.44,201.78,202.25,195.00,31.30,2,SIDEWAYS,NEUTRAL
EXC,Exelon Corporation,NASDAQ,44.27,USD,-1.58,-5.30,-8.74,-3.59,-2.77,1.63,1.56,39.36,75.58,313.89,1.77,2.13,45.21,46.92,47.65,46.38,45.76,35.38,2,SIDEWAYS,NEUTRAL
CCEP,Coca-Cola Europacific Partners plc,NASDAQ,91.42,USD,-1.61,-3.94,-6.02,-6.77,1.33,0.86,4.60,53.65,137.09,2212.72,1.95,2.06,93.55,95.23,95.95,95.41,93.00,39.17,2,SIDEWAYS,NEUTRAL
PAYX,"Paychex, Inc.",NASDAQ,89.92,USD,-4.04,-1.88,4.94,-4.49,-19.94,-19.80,-40.77,-9.35,72.56,43108.13,3.40,2.73,92.81,91.53,92.42,98.05,111.99,42.86,2,SIDEWAYS,NEUTRAL
GEHC,GE Healthcare Technologies Inc.,NASDAQ,61.89,USD,-0.64,0.11,-14.78,-22.26,-16.04,-25.05,-16.76,-1.76,-1.76,-1.76,2.57,2.87,61.63,68.12,69.73,76.02,75.86,36.68,2,SIDEWAYS,NEUTRAL
NFLX,"Netflix, Inc.",NASDAQ,87.56,USD,-0.11,0.47,-15.02,10.68,-23.38,-6.98,-21.43,79.48,901.95,75615.98,2.33,2.71,88.93,94.99,94.93,90.69,102.87,37.71,1,DOWN,NEUTRAL
CEG,Constellation Energy Corporation,NASDAQ,274.89,USD,-6.37,-14.21,-2.88,-1.27,-16.36,-23.22,-1.99,623.39,623.39,623.39,6.85,4.74,306.82,295.81,299.67,306.41,326.49,37.87,1,DOWN,NEUTRAL
ADBE,Adobe Inc.,NASDAQ,236.07,USD,-1.98,-6.33,3.93,-8.63,-29.09,-32.68,-40.37,-50.99,146.88,111814.40,3.12,3.45,248.92,244.26,248.93,274.09,309.42,41.58,1,DOWN,NEUTRAL
CMCSA,Comcast Corporation Class A,NASDAQ,24.94,USD,0.16,-5.92,-10.77,-23.73,-4.99,-10.92,-23.61,-53.98,-14.15,98146.14,2.74,3.29,26.07,27.64,28.53,29.03,28.74,30.74,1,DOWN,NEUTRAL
ADSK,"Autodesk, Inc.",NASDAQ,231.03,USD,-1.63,-5.85,5.97,-0.67,-21.90,-21.95,-21.47,-15.22,299.29,46106.46,3.19,3.24,241.89,238.18,242.20,251.71,278.17,42.51,1,DOWN,NEUTRAL
PYPL,"PayPal Holdings, Inc.",NASDAQ,45.23,USD,-0.46,-3.12,0.28,12.28,-29.45,-22.91,-37.54,-81.46,14.91,19.03,2.23,2.74,47.11,47.94,46.86,49.18,58.09,38.15,1,DOWN,NEUTRAL
CPRT,"Copart, Inc.",NASDAQ,32.94,USD,-1.50,-0.21,0.73,-16.61,-20.93,-15.85,-47.15,8.93,508.31,23323.83,2.30,2.03,33.37,33.32,33.75,36.45,40.32,42.10,1,DOWN,NEUTRAL
AXON,Axon Enterprise Inc,NASDAQ,376.82,USD,-4.28,-1.99,8.94,-14.01,-31.35,-34.28,-45.78,194.18,1818.64,64498.30,8.42,5.59,395.96,394.01,435.68,487.64,587.46,40.68,1,DOWN,NEUTRAL
WDAY,"Workday, Inc. Class A",NASDAQ,116.50,USD,-1.79,-8.16,1.92,-19.42,-48.41,-45.86,-56.33,-48.37,64.04,142.46,5.17,5.03,124.40,123.25,128.18,153.38,191.27,41.21,1,DOWN,NEUTRAL
DXCM,"DexCom, Inc.",NASDAQ,58.57,USD,-4.20,-1.91,-8.47,-13.88,-0.81,-12.10,-30.88,-28.29,266.92,1839.40,3.12,3.76,60.13,61.79,63.71,67.04,68.45,40.53,1,DOWN,NEUTRAL
PLTR,Palantir Technologies Inc. Class A,NASDAQ,130.05,USD,-4.37,-2.74,-0.14,-3.92,-22.11,-28.27,8.45,579.47,1200.50,1200.50,4.18,4.04,137.67,140.66,145.17,152.39,163.59,38.39,0,DOWN,NEUTRAL
ISRG,"Intuitive Surgical, Inc.",NASDAQ,432.27,USD,0.09,-4.28,-3.55,-12.87,-22.74,-23.73,-23.04,57.58,513.61,21513.54,3.58,3.19,445.86,457.44,465.84,497.45,497.66,37.66,0,DOWN,NEUTRAL
SHOP,"Shopify, Inc. Class A",NASDAQ,95.40,USD,-4.45,-12.16,-12.84,-20.95,-32.97,-41.18,-10.30,-10.59,3508.17,3307.14,4.65,4.74,110.93,118.64,120.52,130.83,141.29,31.13,0,DOWN,NEUTRAL
BKNG,Booking Holdings Inc.,NASDAQ,155.03,USD,-3.44,-10.51,-9.19,-9.39,-23.73,-27.65,-24.92,72.17,204.22,697.48,3.48,3.65,165.01,174.36,173.63,184.04,197.89,34.14,0,DOWN,NEUTRAL
INTU,Intuit Inc.,NASDAQ,371.71,USD,-4.13,-4.69,4.85,-6.59,-42.86,-43.73,-43.72,-8.64,263.99,16120.23,3.55,3.82,393.72,393.49,414.64,469.49,573.67,39.88,0,DOWN,NEUTRAL
MELI,"MercadoLibre, Inc.",NASDAQ,1562.00,USD,-1.06,-14.65,-11.34,-25.36,-23.06,-22.96,-37.64,17.45,1126.64,7000.00,4.37,3.20,1731.53,1779.87,1746.21,1890.72,2065.94,32.77,0,DOWN,NEUTRAL
CTAS,Cintas Corporation,NASDAQ,163.55,USD,-1.13,-3.40,-6.51,-18.32,-13.11,-12.81,-24.77,84.15,613.72,68661.97,2.35,2.17,168.05,172.76,178.29,185.90,192.22,31.22,0,DOWN,NEUTRAL
DASH,"DoorDash, Inc. Class A",NASDAQ,149.07,USD,-3.94,-11.40,-0.92,-15.62,-24.21,-35.11,-22.40,30.71,-18.09,-18.09,5.65,4.71,164.80,167.46,165.72,183.80,213.91,34.00,0,DOWN,NEUTRAL
IDXX,"IDEXX Laboratories, Inc.",NASDAQ,528.68,USD,-0.98,-5.90,-5.48,-18.85,-24.03,-21.85,3.87,1.45,507.47,55826.45,3.41,3.40,556.05,567.96,575.04,623.60,641.84,35.33,0,DOWN,NEUTRAL
ALNY,"Alnylam Pharmaceuticals, Inc",NASDAQ,291.48,USD,-0.19,-3.35,-9.10,-7.30,-35.78,-27.01,9.01,117.05,439.58,4678.36,3.31,3.92,296.69,311.06,314.21,336.87,391.71,39.87,0,DOWN,NEUTRAL
TRI,Thomson Reuters Corporation,NASDAQ,82.03,USD,-6.00,-12.74,-3.31,-9.46,-42.94,-38.85,-56.22,-20.85,50.00,98.27,5.78,5.04,92.09,91.71,94.41,103.97,132.27,31.61,0,DOWN,NEUTRAL
ROP,"Roper Technologies, Inc.",NASDAQ,316.25,USD,-2.37,-10.74,-7.95,-5.45,-29.23,-28.89,-45.27,-28.08,78.87,15712.50,3.42,2.73,343.98,352.72,353.07,371.27,431.40,24.09,0,DOWN,OVERSOLD
INSM,Insmed Incorporated,NASDAQ,117.99,USD,1.72,-14.78,-23.78,-20.57,-37.27,-32.88,74.00,362.34,948.80,-26.26,12.75,5.75,123.04,140.36,142.04,151.63,155.98,38.68,0,DOWN,NEUTRAL
CTSH,Cognizant Technology Solutions Corporation Class A,NASDAQ,45.97,USD,-3.69,-10.82,-20.66,-34.71,-37.33,-44.61,-43.82,-35.89,-24.58,21965.85,4.06,3.38,50.70,56.32,58.59,68.17,70.01,16.86,0,DOWN,OVERSOLD
VRSK,"Verisk Analytics, Inc.",NASDAQ,161.47,USD,-2.92,-9.27,-2.05,-6.58,-25.93,-27.25,-46.82,-7.23,108.08,498.04,3.42,3.65,173.86,176.30,185.75,196.57,219.74,33.46,0,DOWN,NEUTRAL
CHTR,"Charter Communications, Inc. Class A",NASDAQ,143.06,USD,-3.29,-9.80,-34.55,-41.08,-29.95,-31.70,-64.41,-79.30,-39.18,291.98,4.16,6.47,157.09,196.89,206.04,209.87,227.47,25.68,0,DOWN,OVERSOLD
CSGP,"CoStar Group, Inc.",NASDAQ,31.97,USD,-3.27,-8.53,-11.53,-33.01,-53.22,-52.36,-57.58,-60.93,60.66,3452.22,4.35,4.57,33.94,36.80,39.61,48.79,64.19,28.37,0,DOWN,OVERSOLD
