ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],INTC,Intel Corporation,NASDAQ,122.02,USD,1.82,14.06,48.44,164.74,237.07,223.06,505.26,113.88,291.09,302453.93,4.90,7.28,116.39,97.18,77.97,61.99,47.68,69.43,3,SIDEWAYS,NEUTRAL
[object Object],MO,"Altria Group, Inc.",NYSE,72.42,USD,-2.00,-1.67,8.09,5.19,23.79,25.60,21.46,45.89,13.53,63495.49,1.61,2.04,72.80,69.57,68.10,66.02,64.24,57.11,3,SIDEWAYS,NEUTRAL
[object Object],WMB,"Williams Companies, Inc.",NYSE,76.87,USD,-2.04,-1.23,7.09,4.71,28.78,27.88,33.22,196.34,244.71,3227.95,1.81,2.26,77.37,74.28,73.81,70.92,65.38,55.74,3,SIDEWAYS,NEUTRAL
[object Object],FCX,"Freeport-McMoRan, Inc.",NYSE,64.20,USD,3.57,8.70,3.43,-6.96,53.66,24.12,72.49,56.70,463.65,424.08,3.04,3.49,63.09,62.93,61.42,61.36,52.26,54.49,3,SIDEWAYS,NEUTRAL
[object Object],SLB,SLB Limited,NYSE,58.39,USD,1.94,2.03,7.48,12.29,63.33,52.02,76.30,87.57,-23.17,8180.01,2.09,2.50,56.63,55.11,53.05,50.60,43.14,66.74,3,SIDEWAYS,NEUTRAL
[object Object],MDLZ,"Mondelez International, Inc. Class A",NASDAQ,61.62,USD,-0.23,0.20,7.54,0.80,8.91,14.24,-6.04,-3.64,39.70,198.98,1.41,1.88,61.43,59.88,58.98,58.48,58.93,58.97,3,SIDEWAYS,NEUTRAL
[object Object],BKR,Baker Hughes Company Class A,NASDAQ,67.09,USD,1.57,1.02,0.96,2.51,34.95,46.75,86.01,178.75,116.32,414.63,2.49,2.56,65.68,65.11,63.49,60.20,53.51,57.32,3,SIDEWAYS,NEUTRAL
[object Object],D,Dominion Energy Inc,NYSE,67.76,USD,0.13,0.83,8.50,6.21,9.56,15.02,21.00,-10.78,-4.05,517.75,1.43,1.90,65.75,63.59,62.95,62.38,61.33,66.15,3,SIDEWAYS,NEUTRAL
[object Object],CARR,Carrier Global Corp.,NYSE,64.86,USD,2.72,1.77,5.06,4.78,20.04,22.11,-8.19,44.83,440.46,440.46,2.82,3.23,64.22,63.71,61.31,60.46,59.51,53.51,3,SIDEWAYS,NEUTRAL
[object Object],DAL,"Delta Air Lines, Inc.",NYSE,78.33,USD,2.88,13.16,13.90,11.90,25.55,12.14,66.38,66.48,79.33,244.31,3.73,2.94,72.58,70.89,68.87,68.41,64.84,68.34,3,SIDEWAYS,NEUTRAL
