ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],ABBN,ABB Ltd.,SIX,83.68,CHF,-1.46,4.76,7.28,17.17,46.40,40.40,77.21,178.47,303.28,222.56,1.87,2.27,82.28,78.85,73.81,69.59,63.16,63.33,3,SIDEWAYS,NEUTRAL
[object Object],ABI,Anheuser-Busch InBev SA/NV,EURONEXT,72.40,EUR,2.26,3.43,17.23,8.06,36.45,33.38,17.08,16.51,-36.30,278.46,1.59,2.28,70.90,67.02,64.77,63.54,58.17,68.29,3,SIDEWAYS,NEUTRAL
[object Object],IFX,Infineon Technologies AG,XETR,76.73,EUR,-1.06,19.52,39.51,63.00,114.75,103.45,124.85,138.40,472.61,22.63,4.89,5.08,70.46,59.94,51.85,47.18,40.84,76.45,3,SIDEWAYS,OVERBOUGHT
[object Object],BAS,BASF SE,XETR,51.09,EUR,-0.45,-2.48,-5.16,4.50,14.32,14.86,20.52,-23.29,-27.00,845.24,2.16,2.50,51.97,52.89,52.02,49.58,46.77,42.87,3,SIDEWAYS,NEUTRAL
[object Object],MT,ArcelorMittal SA,EURONEXT,58.20,EUR,0.21,12.79,14.66,3.19,58.58,49.42,112.49,117.57,353.17,-12.79,2.84,4.15,55.07,52.67,50.16,49.19,41.22,65.11,3,SIDEWAYS,NEUTRAL
[object Object],RWE,RWE AG,XETR,55.18,EUR,-3.23,-2.85,-7.54,1.92,27.08,21.97,67.42,72.33,358.50,447.52,2.19,2.47,56.38,58.32,57.99,55.04,47.59,38.89,3,SIDEWAYS,NEUTRAL
[object Object],P911,Porsche AG,XETR,46.74,EUR,2.32,5.79,14.00,13.72,4.68,1.70,8.60,-44.36,-44.36,-44.36,1.98,2.89,45.92,43.51,41.57,41.52,43.11,63.89,3,SIDEWAYS,NEUTRAL
[object Object],SDZ,Sandoz Group Ltd,SIX,64.52,CHF,-0.40,-1.04,1.93,-9.74,14.60,10.86,58.29,168.83,168.83,168.83,1.60,2.30,65.60,65.25,64.07,63.61,57.50,47.55,3,SIDEWAYS,NEUTRAL
[object Object],EN,Bouygues SA,EURONEXT,50.20,EUR,0.36,1.21,-3.39,-2.30,17.73,13.32,27.28,49.32,72.09,380.84,1.53,2.16,50.20,50.93,50.74,49.33,44.73,48.10,3,SIDEWAYS,NEUTRAL
[object Object],NN,NN Group N.V.,EURONEXT,73.86,EUR,-1.20,0.03,1.21,6.37,18.14,12.25,38.00,77.98,156.86,251.71,1.41,1.60,75.20,74.47,71.96,69.60,65.18,48.23,3,SIDEWAYS,NEUTRAL
[object Object],TELIA,Telia Company AB,OMXSTO,49.42,SEK,-0.48,-2.33,3.02,6.76,28.10,25.08,32.07,32.71,24.83,53.48,1.72,1.94,50.06,48.47,48.13,45.43,40.97,53.94,3,SIDEWAYS,NEUTRAL
[object Object],DSFIR,DSM-Firmenich AG,EURONEXT,72.98,EUR,2.33,9.09,13.53,23.61,3.11,5.86,-26.65,-35.42,-35.42,-35.42,3.05,2.81,69.44,66.42,64.10,63.97,69.09,72.00,3,SIDEWAYS,OVERBOUGHT
[object Object],TIT,Telecom Italia S.p.A.,MIL,0.72,EUR,-0.85,1.09,9.11,9.55,45.83,39.80,83.89,61.99,-13.46,-96.12,1.23,2.05,0.72,0.69,0.66,0.63,0.55,66.32,3,SIDEWAYS,NEUTRAL
[object Object],BCP,Banco Comercial Portugues S.A.,EURONEXT,0.97,EUR,-1.61,4.31,11.11,3.57,18.10,8.37,43.51,500.00,138.00,-94.03,1.68,2.29,0.96,0.92,0.89,0.89,0.84,63.35,2,SIDEWAYS,NEUTRAL
[object Object],AGS,ageas SA/NV,EURONEXT,67.75,EUR,-1.17,1.35,-0.22,7.54,14.73,12.92,17.62,28.12,85.62,-76.51,1.16,1.54,68.07,67.60,65.78,63.32,61.04,53.38,3,SIDEWAYS,NEUTRAL
[object Object],MONC,Moncler SpA,MIL,54.66,EUR,4.35,9.71,1.04,-5.14,-6.24,-2.04,0.51,-3.73,271.33,279.58,3.34,3.07,51.48,53.09,52.86,52.54,52.51,58.26,3,SIDEWAYS,NEUTRAL
[object Object],ASRNL,ASR Nederland N.V.,EURONEXT,66.04,EUR,-0.63,0.00,4.03,7.38,13.00,8.40,17.63,87.35,222.93,222.93,1.19,1.52,66.74,65.28,63.02,61.90,60.21,55.00,3,SIDEWAYS,NEUTRAL
[object Object],REC,Recordati S.p.A.,MIL,51.15,EUR,-0.29,0.79,2.55,5.59,0.99,6.03,-1.06,13.11,98.26,5196.26,1.37,1.89,51.28,50.37,49.22,48.40,49.88,56.73,3,SIDEWAYS,NEUTRAL
[object Object],ORNBV,Orion Oyj Class B,OMXHEX,71.25,EUR,0.35,0.35,6.74,4.24,15.57,11.68,22.11,95.80,120.04,264.82,1.57,2.12,70.42,70.31,70.11,69.51,66.99,54.62,3,SIDEWAYS,NEUTRAL
[object Object],SSAB_B,SSAB AB Class B,OMXSTO,93.10,SEK,0.47,9.87,12.17,16.37,41.66,33.00,60.30,132.75,402.70,218.13,2.29,3.31,88.19,84.99,80.10,77.84,68.75,70.60,3,SIDEWAYS,OVERBOUGHT
[object Object],BNR,Brenntag SE,XETR,56.48,EUR,-0.98,-6.30,-5.68,8.82,13.96,13.76,-2.92,-26.61,16.45,231.62,2.26,2.62,58.86,60.11,57.95,54.75,52.57,36.40,3,SIDEWAYS,NEUTRAL
[object Object],ASML,ASML Holding NV,EURONEXT,1376.40,EUR,-0.96,8.04,10.47,7.11,53.62,49.71,110.04,152.64,1435.30,5279.84,3.26,3.68,1347.10,1280.38,1242.92,1208.50,1018.42,58.26,2,SIDEWAYS,NEUTRAL
[object Object],HSBA,HSBC Holdings Plc,LSE,1404.00,GBX,1.30,6.27,6.12,2.33,31.95,18.42,60.73,205.28,216.97,485.86,1.64,2.09,1355.96,1341.95,1298.84,1282.46,1161.01,64.26,2,SIDEWAYS,NEUTRAL
[object Object],NESN,Nestle S.A.,SIX,81.07,CHF,2.13,2.50,0.27,-2.21,1.72,3.64,-8.70,-27.30,9.48,116.19,1.32,1.52,78.71,78.48,78.32,78.00,77.27,60.99,2,SIDEWAYS,NEUTRAL
[object Object],TTE,TotalEnergies SE,EURONEXT,75.42,EUR,-3.58,-5.57,-2.18,12.05,32.95,35.53,46.30,96.89,72.27,2990.98,2.23,2.12,78.68,77.47,77.58,69.98,61.94,41.94,2,SIDEWAYS,NEUTRAL
