ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200,price_target_average,price_target_high,price_target_low,price_target_median,earnings_per_share_forecast_next_fy,earnings_per_share_forecast_fq,earnings_per_share_forecast_next_fq,revenue_forecast_next_fy,revenue_forecast_fq,revenue_forecast_next_fq
[object Object],TSLA,"Tesla, Inc.",NASDAQ,380.12,stock,common,100.00,1.00,false,0.00,USD,0.32,33409379.00,0.97,1501302012349.44,USD,353.17,1.08,-37.67,0.00,Consumer durables,america,Consumer Durables,Buy,Buy,0.32,6.20,5.18,1.29,2.82,-16.97,-13.59,51.04,2662.50,29909.51,2.44,3.05,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,60.59,12.31,20.38,166.16,80.24,69.03,0.00,380.00,0.29,0.24,431731.00,0.32,33409379.00,18.35,379.77,-0.09,2433112.00,1.55,353.17,0.00,12.94,17.28,72.02,233.53,30.57,1474023012349.44,14.23,308.89,131.04,366.74,356.95,348.96,379.44,396.34,377.40,525.00,24.86,406.50,1.71,0.53,0.46,106218159321.00,26423384494.00,27549359924.00
[object Object],MU,"Micron Technology, Inc.",NASDAQ,1071.88,stock,common,100.00,1.00,false,0.00,USD,-2.22,21451089.00,0.84,1210573877766.62,USD,24.27,44.17,697.29,0.05,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-2.22,14.73,14.67,-13.07,197.86,263.20,546.96,1356.16,5891.50,75785.31,4.21,3.85,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,62.19,44.11,76.65,168.87,90.06,84.42,0.00,1100.66,0.41,0.17,705953.00,0.36,21451089.00,-26.51,1072.82,0.09,1510815.00,529.95,24.27,0.04,13.90,12.01,23.86,46.89,47.12,1190900877766.62,13.19,20.06,17.42,993.62,970.02,933.51,925.12,652.70,1575.88,2200.00,361.00,1600.00,73.70,20.86,31.49,130013557065.00,35911904101.00,50922858757.00
[object Object],LLY,Eli Lilly and Company,NYSE,1150.99,stock,common,100.00,1.00,false,0.00,USD,-1.64,2154067.00,0.95,1083492571062.36,USD,39.11,29.43,95.14,0.57,Health technology,america,Health Technology,Buy,Buy,-1.64,1.20,-8.81,2.13,28.46,6.93,53.35,401.96,1320.10,40881.00,2.80,2.33,Neutral,Neutral,Sell,Sell,Neutral,Neutral,46.64,26.78,-26.00,38.14,64.97,62.95,0.00,1178.50,0.71,0.16,4771.00,0.39,2154067.00,-12.23,1153.50,0.22,409635.00,52.49,39.11,0.42,13.13,31.99,36.63,56.55,114.93,1129450571062.36,14.18,28.52,27.08,1144.23,1176.51,1176.62,1137.17,1068.31,1359.46,1680.00,930.00,1400.00,36.58,6.40,9.90,88510577401.00,20822836356.00,22288062971.00
[object Object],AMD,"Advanced Micro Devices, Inc.",NASDAQ,614.61,stock,common,100.00,1.00,false,0.00,USD,-1.47,16291097.00,0.64,1003335476161.41,USD,157.73,3.90,124.28,0.00,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-1.47,18.79,31.18,12.99,204.61,180.77,282.89,485.96,9578.90,133994.78,3.91,3.51,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,71.00,93.51,86.17,178.38,97.82,98.43,tweezer_top_bearish,622.65,-0.18,-0.60,239281.00,-0.36,16291097.00,-42.40,614.80,0.03,1859859.00,257.80,157.73,1.29,25.05,14.92,101.15,121.34,77.70,994489476161.41,24.08,153.26,104.51,548.87,502.52,500.12,494.92,360.65,632.78,1250.00,465.00,620.00,7.63,1.62,1.93,50927902959.00,11309653407.00,12984082298.00
[object Object],BRK.B,Berkshire Hathaway Inc. Class B,NYSE,507.17,stock,common,100.00,1.00,false,0.00,USD,0.73,5400014.00,1.04,976495555264.27,USD,12.75,39.77,36.30,0.00,Finance,america,Finance,Neutral,Neutral,0.73,-1.78,1.81,2.86,6.96,1.24,2.71,84.32,245.60,2086.08,1.52,1.13,Buy,Buy,Buy,Buy,Neutral,Neutral,49.90,0.45,-0.21,-10.12,15.29,20.55,0.00,504.00,0.10,0.18,17782.00,0.07,5400014.00,14.61,508.40,0.24,1358960.00,-7.81,12.75,0.35,2.82,1.46,23.43,45.13,2.99,742618555264.27,1.93,11.88,9.71,510.05,505.85,505.71,495.99,492.60,541.08,604.00,490.25,529.00,22.18,5.04,5.60,403512500000.00,96522968300.00,100929913950.00
[object Object],JPM,JPMorgan Chase & Co.,NYSE,337.53,stock,common,100.00,1.00,false,0.00,USD,-0.73,7067396.00,0.78,897217614851.14,USD,14.46,23.34,19.77,1.76,Finance,america,Finance,Buy,Buy,-0.73,-4.49,-4.46,0.77,16.74,4.66,8.25,113.63,403.85,3432.24,2.14,1.85,Sell,Sell,StrongSell,Strong sell,Sell,Sell,33.41,-17.18,-8.94,-232.65,19.34,28.60,"doji_star_bullish,long_upper_shadow_bearish",337.81,-0.64,0.37,61369.00,-0.70,7067396.00,-38.47,338.19,0.20,1477024.00,7.38,14.46,0.74,4.60,2.54,5.91,5.91,0.00,2147856614851.14,7.22,0.00,0.00,348.99,354.77,353.51,334.85,321.00,377.09,436.00,305.00,375.00,24.75,5.59,5.82,207492172290.00,50720644720.00,50581762871.00
[object Object],WMT,Walmart Inc.,NASDAQ,110.53,stock,common,100.00,1.00,false,0.00,USD,0.37,22705138.00,1.05,876916977613.57,USD,40.05,2.76,4.13,0.89,Retail trade,america,Retail Trade,StrongBuy,Strong buy,0.37,2.04,6.14,-5.91,-9.42,-0.80,7.93,131.53,357.81,628697.36,1.72,1.60,Buy,Buy,Buy,Buy,Neutral,Neutral,57.58,4.70,-0.53,167.13,80.64,69.14,spinning_top_white,110.13,0.01,-0.02,57873.00,0.09,22705138.00,17.20,110.45,-0.07,4746275.00,3.79,40.05,9.66,1.19,8.94,20.54,65.28,76.49,945703977613.57,1.29,29.30,19.96,107.92,108.13,109.62,115.14,118.63,129.07,155.00,110.00,130.00,2.89,0.74,0.64,752580359804.00,186641139353.00,187317652799.00
[object Object],V,Visa Inc. Class A,NYSE,361.52,stock,common,100.00,1.00,false,0.00,USD,-0.14,5125394.00,0.73,674974976974.67,USD,31.03,11.65,15.03,0.74,Finance,america,Finance,StrongBuy,Strong buy,-0.14,-3.58,-3.15,8.71,18.80,3.33,4.91,60.68,333.37,2330.39,1.73,1.38,Sell,Sell,Sell,Sell,Neutral,Neutral,40.33,-5.87,-3.16,-139.78,14.74,18.25,"doji_star_bullish,long_upper_shadow_bearish",360.94,-0.30,0.40,3952.00,-0.22,5125394.00,-41.60,361.18,-0.09,1125449.00,4.48,31.03,2.07,15.45,19.49,30.39,32.65,43.18,683455976974.67,15.36,22.91,21.93,369.12,371.25,367.70,349.38,336.48,423.54,466.00,370.00,425.00,13.23,3.23,3.44,45854091712.00,11400783120.00,12077370802.00
[object Object],XOM,Exxonmobil Holdings Corporation,NYSE,161.23,stock,common,100.00,1.00,false,0.00,USD,1.59,12567642.00,0.79,662963617439.97,USD,20.75,7.77,10.17,2.60,Energy minerals,america,Energy Minerals,Buy,Buy,1.59,-3.59,-1.61,18.87,-2.63,34.26,43.04,184.36,93.04,10116.55,1.89,1.98,Neutral,Neutral,Buy,Buy,Sell,Sell,49.98,-3.00,-0.93,-29.78,20.94,25.92,0.00,159.75,0.66,-0.14,37986.00,0.57,12567642.00,-11.44,161.23,0.00,2887746.00,39.81,20.75,2.01,1.82,2.56,11.27,22.03,63.56,701474617439.97,1.93,17.08,9.92,163.40,162.26,158.78,152.62,147.54,171.78,200.00,142.00,170.00,11.84,3.56,3.59,410961525222.00,109936966477.00,109369826561.00
[object Object],ASML,ASML Holding NV Sponsored ADR,NASDAQ,1744.61,dr,0.00,100.00,1.00,false,0.00,USD,-0.19,1254327.00,0.88,659157272829.58,USD,54.31,32.12,23.10,0.44,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-0.19,7.04,-0.96,-5.98,32.32,53.88,80.90,98.84,1499.97,63585.43,2.65,2.32,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,54.99,15.09,-40.40,71.06,74.49,61.82,0.00,1731.90,-0.92,-0.86,27475.00,-0.96,1254327.00,6.70,1744.00,-0.03,124595.00,75.51,54.31,2.36,16.33,26.95,51.54,59.29,77.47,652758108399.58,15.85,44.74,41.32,1666.80,1722.73,1720.25,1708.45,1518.69,2345.02,2859.00,1628.31,2392.50,43.97,7.92,11.81,50039214906.00,10239884383.00,13055196810.00
